number,TeacherID,speaker,utterance,ut,rc,conversation_id,KMeans_Cluster,EM_Cluster
31,3026,S,Slower.   ,Rs,PD,20,10,2
32,3026,T,"Slower, so speed is all about that distance and time relationship. ",Fs,MT,21,3,24
33,3026,T,"And we’re going to talk about average speed vs. instantaneous speed, ok? ",P,SK,21,3,24
34,3026,T,"If I did drive to Houston and I took an average speed, what does average mean? ",Q,SK,21,3,24
35,3026,T,You all just did this on your test. ,P,,21,3,24
36,3026,T,What does average mean? ,Q,SK,21,3,24
37,3026,T,"If I take an average of anything, what am I doing? ",Q,SK,21,3,24
38,3026,S,Taking…,Rs,SK,22,14,14
39,3026,T,Raise your hand. Jason? ,P,SK,23,14,14
40,3026,S,"Oh, oh, like you total it up… ",Rs,SK,24,0,17
41,3026,T,"Yeah, I’m totaling up what? A list of what? ",Fq,SK,25,12,9
42,3026,S,The speeds. ,Rs,SK,26,1,7
43,3026,T,Correct.,Fy,SK,27,4,5
44,3026,T,"I’m dividing it by how many different speeds I went, ok?  ",E,OD,27,4,5
45,3026,T,"Because I started biking, and I can bike around White Rock Lake  ",E,OD,27,4,5
46,3026,T,and sometimes I’m going 15 miles an hour; ,E,OD,27,4,5
47,3026,T,"it depends if I’m going down a hill or not, ",E,OD,27,4,5
48,3026,T,but at the end of my trip I look at my average speed and it might tell me I went an average of 10 MPH. ,E,OD,27,4,5
49,3026,T,So that means it takes all my speeds and it’s going to average it all together. ,E,OD,27,4,5
50,3026,T,"So on the average I did about 10 MPH even though at some points I may have gone faster or slower, right? ",E,OD,27,4,5
51,3026,T,Are you going to go the same speed as you drive to school?   ,Q,PD,27,4,5
52,3026,T,What do you do between? ,Q,PD,27,4,5
53,3026,S,Stop. Go. ,Rs,PD,28,13,12
54,3026,T,"Stop, at a stop light, and then what do you do? ",Fq,OD,29,13,12
55,3026,S,Go. ,Rs,OD,30,8,1
56,3026,T,"You go, and as you start leaving the stop light what do you do? ",Fq,OD,31,13,12
57,3026,T,As you leave you get a little what?,Q,OD,31,13,12
58,3026,S,Faster. ,Rs,OD,32,16,16
59,3026,T,You go a little faster. ,Fs,OD,33,19,19
60,3026,T,So the average speed is just talking about all your speeds averaged together. ,E,MT,33,19,19
61,3026,T,"Now if I want to take a speed instantaneously, ",E,EX,33,19,19
62,3026,T,"if I want to take a speed at one instance, that means at that one moment I want to know how fast I’m going, ",E,EX,33,19,19
63,3026,T,so what kind of scale - what tool do I use to try to measure how I’m going at one particular second? ,Q,EX,33,19,19
64,3026,S,Odometer. ,Rs,EX,34,2,15
65,3026,T,What’s that called? ,Fq,EX,35,18,18
66,3026,S,Speedometer. Odometer. ,Rs,EX,36,2,15
67,3026,T,What’s the difference between an odometer and a speedometer? ,Q,EX,37,2,15
68,3026,S,A speedometer tells you how fast you’re going. ,Rs,EX,38,9,8
69,3026,T,"Right, the speedometer tells you how fast you’re going. ",Fs,EX,39,20,21
70,3026,T,It tells you your instant speed at that one moment. ,E,EX,39,20,21
71,3026,T,"What does the odometer do, guys? ",Q,EX,39,20,21
72,3026,S,How far you traveled? ,Rs,EX,40,16,16
73,3026,T,"Right, how far you traveled. ",Fy,EX,41,9,8
74,3026,T,So you can get in your car and you can reset the odometer so if you’re about to leave your house ,E,EX,41,9,8
75,3026,T,"and you want to calculate how good you’re driving, how fast you’re driving, you can set it to zero, ",E,EX,41,9,8
76,3026,T, and as you get there it’s going to calculate your miles and then you can calculate your time. ,E,EX,41,9,8
77,3026,T,"Ok, well send it. Ok. Alright, let’s see our class average. Hold on, we’ll do that in a minute. Alright, so let’s go over your little mini quiz here. So I asked you in your own words what equilibrium meant.",P,,41,9,8
78,3026,T,"We have several examples with Mr. Denero and a class. Let’s see what you told me here. Alright, equal amount, the same, two equal things - I think this is supposed to say balance. I think you’re [inaudible], but I understand that’s balance. Equal and in balance. Now whenever you give a definition of a word you don’t want to use the same form of the word, so if I say it’s equilibrium, I don’t want to see equal in the definition.",P,,41,9,8
79,3026,S,Some did what? ,Q,SK,42,6,3
80,3026,T,Ignore. So the best thing you can probably tell me is if it’s balanced. Remember we talked about equilibrium where it’s reached a stable stage or it’s in balance. ,E,SK,43,10,2
81,3026,T,"Think about the volcano. If the volcano is building up pressure, is that equilibrium, if it’s got pressure underneath it? ",Fq,SK,43,10,2
82,3026,S,Yeah. ,Q,OD,44,2,15
83,3026,T,"Yeah,  if it’s building up pressure? ",Fq,OD,45,2,15
84,3026,S,No. ,Ry,OD,46,8,1
85,3026,T,"No.  Is the pressure greater or less underneath the crust as it is on the outside? Where’s there the most pressure. Think about it. If your volcano is building up pressure, is it going to be greater or less than the air pressure outside the volcano? Hello, Cory, is it greater or less? ",Fq,PD,47,1,7
86,3026,S,Less. ,Rs,PD,48,8,1
87,3026,T,"Huh? Exactly; you’re not listening. Marquis, is it greater or less? ",Fq,PD,49,15,13
88,3026,S,I think less. ,Rs,PD,50,14,14
89,3026,T,"Inside the volcano, before it erupts?",Fq,PD,51,3,0
90,3026,S,It’s greater. ,Rs,PD,52,11,10
91,3026,T,It’s greater. ,Fy,PD,53,3,0
92,3026,T,"Now before it balances out it’s going to do what? If it wants to reach equilibrium, what does that volcano have to do? ",Q,PD,53,3,0
93,3026,S,Erupt.,Rs,PD,54,3,0
94,3026,T,"It’s going to erupt, because the whole point is the pressure under the crust vs. the pressure outside, it’s not the same.",Fs,PD,55,4,23
95,3026,T,"It’s in disequilibrium and we have to balance it out by making it the same, so it’s got to erupt. Same thing with succession. ",E,PD,55,4,23
96,3026,T,"Johnny, explain to me what speed is. ",Q,SK,55,4,23
97,3026,S,Speed is how far you move in a specific time? ,Rs,SK,56,5,4
98,3026,T,"Ok, how far you move in a certain amount of time. ",Fs,SK,57,17,11
99,3026,T,Ok? So how many of you all…How many of y’all sped to school this morning?,Q,EX,57,17,11
100,3026,S,"Ran, yeah.",Rs,EX,58,7,9
101,3026,T,Ran to the school? ,Fq,EX,59,7,20
102,3026,T,How many of you all sped to school this morning. ,Q,EX,59,7,20
103,3026,S,Sped? Ran to school? ,Rs,,60,7,9
104,3026,T,I mean speed. Did you all speed to school? ,Q,EX,61,6,3
105,3026,T,"In cars, ran. ",P,,61,6,3
106,3026,T,"It’s funny, because when I say speed to school you think that you’re going too fast, right? ",E,OD,61,6,3
107,3026,T,"But really, the actual definition of speed is involving what two units as Johnny just told us?",Q,SK,61,6,3
108,3026,T,What two units does it involve? ,Q,SK,61,6,3
109,3026,S,Time and distance. ,Rs,SK,62,5,4
110,3026,T,"Time and distance, ok? ",Fy,SK,63,14,14
111,3026,T,"So really, it’s just a ratio of how far have you gone in a certain amount of time.",E,SK,63,14,14
112,3026,T,And you all deal with speed all the time. ,E,EX,63,14,14
113,3026,T,"You all are in baseball, you all are in track, you measure your speed ",E,EX,63,14,14
114,3026,T,"When you drive to school everyday, roadtrips, when you’re on the interstate or in your neighborhood. E3.5 ",E,EX,63,14,14
115,3026,T,what are the units that we measure our speed in? ,Q,SK,63,14,14
116,3026,S,Miles per hour. ,Rs,SK,64,6,3
117,3026,T,"We measure it in miles per hour, ",Fy,SK,65,18,18
118,3026,T,"don’t we, whereas in science lab we may use [inaudible] per second. ",E,SK,65,18,18
119,3026,T,"So if I’m driving to Houston to see my sister, ok? ",E,OD,65,18,18
120,3026,T,And let’s say I drive the first 100 miles and it takes me exactly two hours. ,E,OD,65,18,18
121,3026,T,About how many miles did I go per hour?,Q,OD,65,18,18
122,3026,S,50,Rs,OD,66,6,3
123,3026,T,If I went 100 miles and it took me two hours. ,Q,OD,67,3,0
124,3026,S,50 each hour. ,Rs,OD,68,6,3
125,3026,T,"Right, and what did you have to do to figure that out? ",Fq,OD,69,4,23
126,3026,S,Divide by two.,Rs,OD,70,3,0
127,3026,T,"You just divide it, right? That’s all speed is. ",Fs,OD,71,5,4
128,3026,T,"All speed is, is just a ratio of your distance to your time, ",E,PD,71,5,4
129,3026,T,"so if you know your speed and your time you can tell me how far you’ve gone, or, if you know your speed and your… I said that backwards. ",E,PD,71,5,4
130,3026,T,"If you know your speed and your time you can calculate how far you’ve gone,",E,PD,71,5,4
131,3026,T,"or if you know your total distance and if you know your total time, you can also calculate your speed,  ",E,PD,71,5,4
132,3026,T,and that’s our formula that you just looked up. ,E,SK,71,5,4
133,3026,T,So what’s the actual formula for speed? ,Q,SK,71,5,4
134,3026,S,Average of distance over time. ,Rs,SK,72,10,2
135,3026,T,Right. Your total distance over total time. ,Fy,SK,73,10,27
136,3026,T,"That’s your average speed, which brings me to question two. ",E,SK,73,10,27
137,3026,T,There’s average speed and there’s instantaneous speed. ,E,SK,73,10,27
138,3026,T,So what is your average speed? ,Q,SK,73,10,27
139,3026,T,"Speed itself is distance over time, but what is your average speed? ",Q,SK,73,10,27
140,3026,T,"If you had to take an average, what does that mean?",Q,SK,73,10,27
141,3026,T,"We’ve been doing math [inaudible], math practice.  ",P,SK,73,10,27
142,3026,S,You add and divide. ,Rs,SK,74,3,0
143,3026,T,One person – raise your hand. One person. Ron? ,P,SK,75,12,9
144,3026,S,Go half the speed you regularly go? ,Rs,SK,76,16,16
145,3026,T,You go half the speed your regularly go?  If I’m averaging speeds? ,Fq,SK,77,4,23
146,3026,S,Like if... ,Rs,SK,78,15,13
147,3026,T,"Let me put it this way, I’ve been starting to bike.",E,OD,79,1,7
148,3026,T,"I ride my bike; I’m training for the MS 150, so if I get on my bike and I ride around White Rock Lake, ",E,OD,79,1,7
149,3026,T,I’m not always going to be going the same speed at all times. ,E,OD,79,1,7
150,3026,S,No. ,Ry,OD,80,8,1
151,3026,T,Same thing in your car; are you always going to be going the same speed all the way to your destination?,Q,OD,81,17,11
152,3026,S,No. ,Ry,OD,82,8,1
153,3026,T,No. Why? What’s happening between? ,Fq,OD,83,10,2
154,3026,S,The speed limit goes faster or slower.,Rs,OD,84,13,12
155,3026,T,"Yeah, the speed limit may change. ",Fs,OD,85,0,17
156,3026,T,"You may have to slow down for a school zone, or what else? ",Fq,OD,85,0,17
157,3026,S,You have to get to the highway. ,Rs,OD,86,0,17
158,3026,T,George said if you have to go on the freeway you might have to speed up to get on it. ,Fs,OD,87,4,23
159,3026,T,"He’s right. Like when I ride my bike around the lake, sometimes I’m going down hill and I go about 15, 18 MPH, ",E,OD,87,4,23
160,3026,T,but then if I’m going up a hill I’m really tired and I’m going to slow down to like 9 MPH. ,E,OD,87,4,23
161,3026,T,"Ok? So at the end of my trip I look at my speedometer and it tells me my average speed may be 10, but at some points I was doing 15; ",E,OD,87,4,23
162,3026,T,"sometimes I did 9, so what did my average speed do? ",Q,OD,87,4,23
163,3026,T,How do I calculate it? ,Q,PD,87,4,23
164,3026,S,"It changed, so you add all the speeds up and divide by the number. ",Rs,PD,88,3,0
165,3026,T,"Right, add all my speeds up and divide it by how many times it took the speed, right?",Fs,PD,89,3,24
166,3026,T,And that’s where I get my average speed. ,Fs,,89,3,24
167,3026,T,"So I can say my average speed from here to Houston was about 60 MPH, but that doesn’t mean I was going 60 the whole time, does it? ",Q,PD,89,3,24
168,3026,S,No. ,Ry,PD,90,8,1
169,3026,T,"Because you know somewhere between there I probably had to stop and get gas, slow down, speed up to get on the freeway. ",Fs,PD,91,6,3
170,3026,T,Now how is that different from instantaneous speed? What’s instantaneous speed? Raise your hand. ,Q,SK,91,6,3
171,3026,T,"Say it again louder, Travis. ",P,SK,91,6,3
172,3026,S,To keep from exceeding the speed limit. ,Rs,SK,92,10,2
173,3026,T,"We use it to keep from going over the speed limit, so…",Fs,SK,93,1,7
174,3026,T,Well we use the odometer to measure what? ,Q,EX,93,1,7
175,3026,S,Speed. How far you went. The distance. ,Rs,EX,94,16,16
176,3026,T,"Right, odometer measures the distance ",Fy,EX,95,10,15
177,3026,T,and you speedometer measures what? ,Q,EX,95,10,15
178,3026,S,Average. Speed. ,Rs,EX,96,10,2
179,3026,T,"Speed, ok? ",Fq,EX,97,10,2
180,3026,T,So instantaneous speed means the speed I’m going when?,Q,OD,97,10,2
181,3026,S,When you start. ,Rs,OD,98,6,3
182,3026,T,"Well any time, right?  ",Fy,OD,99,12,9
183,3026,T, If I want to know my speed at any given time what am I going to look at? ,Q,EX,99,12,9
184,3026,S,The speedometer. ,Rs,EX,100,2,15
185,3026,T,"I’m going to look at my speedometer, and I’m going to know exactly how fast I’m going at that one moment. ",Fs,EX,101,10,2
186,3026,T,That’s instantaneous speed. ,E,SK,101,10,2
187,3026,T,"Now average speed, remember, is an average of all my what? ",Q,SK,101,10,2
188,3026,S,Speeds. ,Rs,SK,102,1,7
189,3026,T,All my different speeds from point A to point B. ,Fs,SK,103,1,7
190,3026,S,And then you divide by the number. ,Rs,SK,104,3,0
191,3026,T,"Right, so I can measure my speed exactly as I go up a hill, and I could later on give my average, so that’s two different things, ok?  ",Fq,SK,105,10,2
192,3026,T,"We’re going to look at speed today and we’re going to do some calculations using some equipment that you see on your desk. Questions on your bell ringer? We need to jump back to yesterday for a minute. We did not get to finish our questions over equilibrium, did we? ",P,,105,10,2
193,3026,T,"T:  I know, I’m fixing it. Ok, so in your own words, what does equilibrium mean? ",Q,SK,105,10,2
194,3026,T,"Ok, we talked about equilibrium, ",P,SK,105,10,2
195,3026,T,"[inaudible], when an eco-system reaches that climax community, so let’s see what you all said. ",P,SK,105,10,2
196,3026,T,"Alright, balance, eco-system balance, 50/50 the same, eco system that stays in balance. ",Fs,SK,105,10,2
197,3026,T,"I think the key word here is what, guys? ",Q,SK,105,10,2
198,3026,S,Balance.,Rs,SK,106,12,9
199,3026,T,"Balance, meaning that we have reached a state… ",Fy,SK,107,11,10
200,3026,T,"One, two, three, four… Key word meaning balance, meaning the level, the system, whatever system we’re talking about; ",E,SK,107,11,10
201,3026,T," volcano, eco-system, you’re human body. ",E,OD,107,11,10
202,3026,T," What ever the system is it’s always trying to keep a stable condition; a balance of the systems, ok? ",E,OD,107,11,10
203,3026,T," Like your body is always trying to balance temperatures, so I think you all got that pretty good. ",E,EX,107,11,10
204,3026,T, Then we talked about the stages of succession in order.,E,SK,107,11,10
205,3026,T,Here were your choices. If we’re going from earliest to latest… ,P,SK,107,11,10
206,3026,T,"Where are you glasses, sweetie? ",Q,,107,11,10
207,3026,S,I broke them. ,Rs,,108,4,23
208,3026,T,"They’re broken. Here, have a seat right here. ",Fs,,109,9,8
209,3026,T,That way we won’t block you in. ,P,,109,9,8
210,3026,T,"Alright, so which one would be the earliest stage that needs to be on top, Andrew? ",Q,SK,109,9,8
211,3026,S,Bare rock. ,Rs,SK,110,5,4
212,3026,T,"Bare rock, right? ",Fy,SK,111,5,20
213,3026,T,That’s after lava has hardened and we have nothing but bare rock. ,E,SK,111,5,20
214,3026,T,Is there life there yet? ,Q,SK,111,5,20
215,3026,S,No.,Ry,,112,8,1
216,3026,T,Is there soil there yet? ,Q,SK,113,7,9
217,3026,S,No. ,Ry,SK,114,8,1
218,3026,T,"No, bare rock, ",Fy,SK,115,5,20
219,3026,T,so what’s the next thing that can grow on bare rock? ,Q,SK,115,5,20
220,3026,S,Minor species. ,Rs,SK,116,13,12
221,3026,T,Minor species; ,Fy,SK,117,5,4
222,3026,T,do they need soil to grow? ,Q,SK,117,5,4
223,3026,S,Yes. No. ,Ry,SK,118,5,4
224,3026,T,No.,Fy,SK,119,11,10
225,3026,T,So are shrubs going to be next? ,Q,SK,119,11,10
226,3026,S,Yeah. I put shrubs. ,Rs,SK,120,11,27
227,3026,T,What do shrubs need to grow in? ,Q,SK,121,5,4
228,3026,S,Soil. ,Rs,SK,122,7,9
229,3026,T,Soil. ,Fy,SK,123,5,4
230,3026,T,Is there any soil yet on bare rock? ,Q,SK,123,5,4
231,3026,S,No. ,Ry,SK,124,8,1
232,3026,T,"No, so shrubs can’t be next, so it has to be pioneer species. ",Fs,SK,125,5,20
233,3026,T,"Then when the pioneer species start breaking down that rock, to form soil, then we can have seedlings and shrubs, ",E,SK,125,5,20
234,3026,T,and then the last stage? ,Q,SK,125,5,20
235,3026,S,Virgin maple forest. ,Rs,SK,126,7,9
236,3026,T,"Ok, Tim, you got that order correct. ",Fs,SK,127,4,23
237,3026,T,"Some groups started with the pioneer species, ",Fs,SK,127,4,23
238,3026,T," but remember, before the pioneer species, they have to grow on what? ",Fq,SK,127,4,23
239,3026,S,Bare rock.,Rs,SK,128,5,4
240,3026,T,Bare rock. ,Fy,SK,129,5,4
241,3026,T,"Down here, bare rock was right, but someone put shrubs and seedlings next. ",E,SK,129,5,4
242,3026,T,Remember they can’t grow until you have soil.,E,SK,129,5,4
243,3026,S,"[inaudible] bare rock, or virgin maple. ",Rs,SK,130,5,20
244,3026,T,And then we’re getting a forest. ,E,SK,131,17,11
245,3026,T,"Remember, we can’t have a climax community forest until we’ve gone thru the smaller stages, ok?",E,SK,131,17,11
246,3026,T,Remember your diagrams?,P,OD,131,17,11
247,3026,S,Yes. ,Rs,OD,132,5,4
248,3026,T,"Remember, you start with bare rock and you had to move your way up.",E,OD,133,1,7
249,3026,T,This was right off your diagram; it was right off your diagram. ,E,OD,133,1,7
250,3026,T,So we need to work on that a little bit for the final demo. ,P,,133,1,7
251,3026,T,"This was primary, secondary or both. [inaudible]? ",Q,SK,133,1,7
252,3026,S,Primary. ,Rs,SK,134,18,18
253,3026,T,Primary. ,Fy,SK,135,3,0
254,3026,T,"Oh, you all did really good on that one. ",Fs,SK,135,3,0
255,3026,T,"Ok, that is primary. Only two of you all picked secondary. ",Fs,SK,135,3,0
256,3026,T,The end result is a climax community in which it’s reached equilibrium. ,E,SK,135,3,0
257,3026,S,Primary. Secondary. ,Rs,SK,136,18,18
258,3026,T,"Primary, secondary, or is it both? ",Q,SK,137,18,18
259,3026,S,Both. ,Rs,SK,138,8,1
260,3026,T,It’s both. ,Fy,SK,139,10,2
261,3026,T,Four of you didn’t answer that. ,P,,139,10,2
262,3026,T," Listen. Whether it’s primary or secondary, eventually each one is going to have soil, right?",E,SK,139,10,2
263,3026,T,And eventually each one… Can each one support a stable eco-system after thousands of years?,Q,SK,139,10,2
264,3026,S,Yes. ,Ry,SK,140,5,4
265,3026,T,"So each one, it’s ultimate goal is to reach what kind of community? ",Q,SK,141,5,4
266,3026,S,Climax. ,Rs,SK,142,4,23
267,3026,T,"Climax community, ",Fy,,143,3,0
268,3026,T,"So it doesn’t matter if you start as primary when a volcano erupts, ",E,SK,143,3,0
269,3026,T, or it doesn’t matter if it’s secondary if you have a forest fire. ,E,SK,143,3,0
270,3026,T,"Either way you need to try to get your climax community again, right? ",E,SK,143,3,0
271,3026,S,Yes. ,Ry,SK,144,5,4
272,3026,T,"Of course, after a forest fire…",Q,SK,145,14,14
273,3026,S,Secondary. ,Rs,SK,146,10,2
274,3026,T,Secondary. ,Fy,SK,147,1,7
275,3026,T,Most of you all got that right; that’s good. ,Fy,,147,1,7
276,3026,T,True or false. A volcano reaches a state of equilibrium… ,Q,SK,147,1,7
277,3026,S,True.,Rs,SK,148,11,10
278,3026,T,…after… ,Fq,SK,149,8,1
279,3026,S,True. ,Rs,SK,150,11,10
280,3026,T,After it erupts. ,Q,SK,151,13,12
281,3026,S,True. ,Rs,SK,152,11,10
282,3026,T,True. ,Fq,SK,153,14,14
283,3026,T,"Remember, what is there more of under the crust before it erupts? ",Q,SK,153,14,14
284,3026,S,Pressure. ,Rs,SK,154,1,7
285,3026,T,Pressure. ,Fy,SK,155,15,13
286,3026,T,And is that equal to the pressure outside the volcano? ,Q,SK,155,15,13
287,3026,S,No. ,Ry,SK,156,8,1
288,3026,T,"No, so before it erupts it is in imbalance.",Fs,SK,157,7,9
289,3026,T,It’s is in disequilibrium and the only way for it to even out is to do what?,Q,SK,157,7,9
290,3026,S,Erupts. ,Rs,SK,158,13,12
291,3026,T,It has to erupt. ,Fy,SK,159,9,8
292,3026,T,"Once it erupts it released the pressure and we’re back in balance, so that would be true on that question. ",E,SK,159,9,8
293,3026,T,"Ok, this was a fill in the blank. We talked about this. When you eat a big hamburger for lunch and you digest it you get an increase in what? ",Q,SK,159,9,8
294,3026,S,Negative ,Rs,SK,160,5,4
295,3026,T,"Ok. Alright, yesterday we talked about speed – about what average speed vs. instantaneous speed meant. ",E,SK,161,3,0
296,3026,T,"Jason, can you throw your gum in the trash please? Thank you very much.  ",P,,161,3,0
297,3026,T,"So we talked about average speed being an average of all the speeds of your total trip from point A to point B. All the speeds that you went… Remember, we talked about you’re not going to go the whole speed the whole time you’re driving, right?",E,SK,161,3,0
298,3026,T,"You’re going to speed up or slow down,",E,OD,161,3,0
299,3026,T,so your average speed is going to be your total distance over what? Your total what?,Q,SK,161,3,0
300,3026,S,Time. ,Rs,SK,162,3,0
301,3026,T,"Time, right? Thank you, Marcus; total time. ",Fs,SK,163,20,21
302,3026,T,So instantaneous speed – what is instantaneous speed again?,Q,SK,163,20,21
303,3026,S,Speed that [inaudible] ,Rs,SK,164,11,27
304,3026,T,"It’s the speed that you’re going at, but at any one given time – at that instant. ",Fs,SK,165,3,0
305,3026,T,Think of the word instantaneous. ,E,SK,165,3,0
306,3026,T, It means at that one instant how fast are you going. ,E,SK,165,3,0
307,3026,T,"Cory, let me see your pass, sweetie. ",P,,165,3,0
308,3026,T,What do I mean by constant speed? ,Q,SK,165,3,0
309,3026,T,You’ll find that on 134. ,P,,165,3,0
310,3026,T,What is the constant speed? ,Q,SK,165,3,0
311,3026,S,Staying the same? ,Rs,SK,166,0,17
312,3026,T,Yeah. What’s staying the same for a period of time?,Fq,SK,167,14,14
313,3026,S,Speed? ,Rs,SK,168,10,2
314,3026,T,Your speed; constant speed. ,Fs,SK,169,0,17
315,3026,T,"So if you’re going at a constant speed of 50, that means you’re not going to increase or decrease your speed; ",E,OD,169,0,17
316,3026,T,you’re just going to stay the same. ,E,OD,169,0,17
317,3026,T,"So if we graph that, you’re going to notice that your graph isn’t going anywhere because you’re going to stay steady at a constant speed.",E,PD,169,0,17
318,3026,T,You’ll see more what I’m talking about when we get into our lab today. ,P,,169,0,17
319,3026,T,"And then we need to look at the relationship between velocity and acceleration, ",P,,169,0,17
320,3026,T,"and the only way to do this is to actually get involved, and we’re going to do some motion graphing today, ",P,,169,0,17
321,3026,T,"ok? So what is velocity? We haven’t really hit on this much yet, but just give me the definition for velocity. ",Q,SK,169,0,17
322,3026,S,Velocity?,Rs,SK,170,17,11
323,3026,T,Uh huh. ,P,,171,4,23
324,3026,S,Velocity is the speed of an object in the direction it’s headed.,Rs,SK,172,4,5
325,3026,T,"Ok, so velocity is the speed of an object in the direction it’s headed, ok? ",Fs,SK,173,12,9
326,3026,T,There’s a nice little picture of that on 135. ,P,,173,12,9
327,3026,T,It shows someone walking around a park. ,E,OD,173,12,9
328,3026,S,Mine’s got a [inaudible] ,Rs,OD,174,11,10
329,3026,T,"Those balls are actually showing acceleration, ",E,OD,175,12,9
330,3026,T,"so my next question is: What is the relationship between velocity and acceleration, ok?  ",Q,SK,175,12,9
331,3026,T,"Velocity we’re looking at the direction; we’re speeding and we have to go in a direction, right? ",E,OD,175,12,9
332,3026,T,"If we’re speeding we’re moving, aren’t we? ",Q,OD,175,12,9
333,3026,S,Acceleration means speeding up. ,Rs,SK,176,7,9
334,3026,T,Acceleration means it’s speeding up? ,Fq,SK,177,7,9
335,3026,S,It changes velocity. ,Rs,SK,178,0,17
336,3026,T,"Ok, so the change in velocity,",Fs,SK,179,7,6
337,3026,T,which means what’s changing? ,Fq,SK,179,7,6
338,3026,S,The speed.,Rs,SK,180,10,2
339,3026,T,Or the… ,Fq,SK,181,8,1
340,3026,S,Or the direction. ,Rs,SK,182,7,9
341,3026,T,Or the direction.,Fs,SK,183,7,6
342,3026,T,"So that’s how velocity and acceleration are related,",E,SK,183,7,6
343,3026,T,because the acceleration is when you change speed or you change direction. ,E,SK,183,7,6
344,3026,T,"Ok, now let’s look at the graph. ",P,,183,7,6
345,3026,T,This is a time graph. ,E,OD,183,7,6
346,3026,T, Shh. One… Put the calculator down for a second. ,P,,183,7,6
347,3026,T,"Look up here. Cory. Alright, we have a time graph. ",P,OD,183,7,6
348,3026,T,What is on our axis?,Q,OD,183,7,6
349,3026,S,TS. ,Rs,OD,184,11,10
350,3026,T,"What does the T stand for, probably?",Q,OD,185,15,13
351,3026,S,Time. ,Rs,OD,186,3,0
352,3026,T,Time. ,Fy,OD,187,15,13
353,3026,T,What does the S stand for? ,Q,SK,187,15,13
354,3026,S,Distance. No. ,Rs,SK,188,5,4
355,3026,T,S. ,Q,SK,189,8,1
356,3026,S,Speed. ,Rs,OD,190,10,2
357,3026,T,What is speed? ,Q,SK,191,10,2
358,3026,T,What is the measure of the speed? ,Q,SK,191,10,2
359,3026,T,Distance over what? ,Q,SK,191,10,2
360,3026,S,Time. ,Rs,SK,192,3,0
361,3026,T,"Time,",Fy,SK,193,4,5
362,3026,T,so what unit would S be for time? ,Fq,SK,193,4,5
363,3026,T,I know you all aren’t awake.,P,,193,4,5
364,3026,T,"If we’re on the highway we say we measure miles per hour, ",E,OD,193,4,5
365,3026,T,so what would the S be? ,Q,SK,193,4,5
366,3026,S,Miles per hour? Second?,Rs,SK,194,6,3
367,3026,T,Nope.,Fy,SK,195,19,19
368,3026,S,Speed. Speed. ,Rs,SK,196,10,2
369,3026,T,Thank you. We’re doing meters. ,Fs,SK,197,0,17
370,3026,S,Miles per second. ,Rs,SK,198,6,3
371,3026,T,"We just set up what unit for distance, guys? ",Q,SK,199,13,12
372,3026,S,Meters. ,Rs,SK,200,9,25
373,3026,T,"Meters, so we’re going meters per second. ",Fs,SK,201,8,26
