number,TeacherID,speaker,utterance,ut,rc,ICA_best_dim_1,ICA_best_dim_2,ICA_best_dim_3,ICA_best_dim_4,ICA_best_dim_5,ICA_best_dim_6,ICA_best_dim_7,ICA_best_dim_8,ICA_best_dim_9,ICA_best_dim_10,ICA_best_dim_11,ICA_best_dim_12,ICA_best_dim_13,ICA_best_dim_14,ICA_best_dim_15,ICA_best_dim_16,ICA_best_dim_17,ICA_best_dim_18,ICA_best_dim_19
12,3026,S,Distance traveling over time. ,Rs,SK,0.237646999,-0.290422077,0.256125462,0.314866808,-0.260048441,1.232716031,-0.274711476,-0.248062757,0.277529415,0.219485123,0.270585038,0.251201683,-0.213469647,-2.446743693,0.245688589,-0.379155875,0.190582378,0.304878062,-0.270876747
13,3026,T,Distance traveled over…,Fq,SK,0.188938304,-0.202761046,0.173628691,0.265744591,-0.196637039,-0.186889777,-0.240070663,-0.149154108,0.176022034,0.170379648,0.183756218,0.213362602,-0.157014008,0.242584284,0.179941331,1.84097102,0.139955896,0.211527169,2.423814458
14,3026,S,Time. ,Rs,SK,0.154714835,-0.236418715,0.181415984,0.260975897,-0.179737907,-0.300926221,-0.21253029,-0.13891359,0.2081409,0.133814464,0.197865907,0.15818534,-0.112122825,-2.529218999,0.161006924,-0.329848344,0.057559734,0.217975505,-0.190391753
15,3026,T,Time. ,Fy,SK,0.154714835,-0.236418715,0.181415984,0.260975897,-0.179737907,-0.300926221,-0.21253029,-0.13891359,0.2081409,0.133814464,0.197865907,0.15818534,-0.112122825,-2.529218999,0.161006924,-0.329848344,0.057559734,0.217975505,-0.190391753
16,3026,T,"It’s how far you’re going, and how long did it take you to go that far, ok? ",E,SK,0.213947315,-0.232021721,0.241825593,-4.366882686,-0.231591934,-0.251104576,-0.291882889,-0.195580404,0.251288902,0.201025873,0.261451361,0.229712181,-0.214558918,0.239781218,0.220663104,-0.269250814,0.193017892,0.214803141,-0.334861811
17,3026,T,"So if I’m driving to Houston to see my sister and I drive 50 - let’s say I drive 100 miles in two hours, ok? ",E,EX,-6.694930667,-0.29981534,0.197844871,0.195018181,-0.270927187,-0.207485645,-0.254273268,-0.210567995,0.191367777,0.196895571,0.205928942,0.202768828,-0.207329083,0.144737225,0.208112604,-0.193854956,0.218560898,0.197410077,-0.249843303
18,3026,T,"I can look at that and I can break it down into how many miles was I going per hour, probably. ",E,OD,0.492403715,0.286447527,0.492250052,0.627900381,-0.458738282,-0.537154647,-0.586149077,-0.367254645,0.515906955,0.402558507,0.496104136,0.482695374,-0.407501662,0.910523796,-2.111493422,-0.67939889,0.414885023,0.479967229,-0.501615271
19,3026,T,"If I went - if I made it 100 miles in two hours, think about it.",E,OD,0.153612923,-0.216021398,0.231214351,0.217437243,-0.15926356,-0.151295436,-0.150479616,-0.149891506,0.188277376,0.150615411,0.158592197,0.155161475,7.366392962,0.215364952,0.177638331,-0.145897996,0.157097532,0.191154094,-0.160480712
20,3026,T,"If I drove 200 - If I drove 100 miles and I did it in two hours, how many miles did I go each hour? ",Q,OD,0.207497879,0.86967951,0.24959232,0.208535689,-0.207520035,-0.181562095,-0.234685323,-0.182582159,-1.800798143,0.184771757,0.233654117,0.197531806,1.474267111,0.233528477,-1.893976652,-0.222825693,0.242663297,0.202284529,-0.201829368
21,3026,S,50,Rs,OD,0.067120351,-0.168534218,0.071124234,0.134113876,-0.07163282,-0.09435727,-0.094767569,-0.02595929,0.130385526,0.050634342,-3.369934613,0.067021182,-0.031991695,0.152638177,0.083059426,-0.112590258,-0.014218516,0.071607509,-0.076021489
22,3026,T,"I did 50, right? ",Fy,OD,0.227663047,1.274030484,0.216596965,0.249140514,-0.233857018,-0.266554763,-0.235489038,-0.187123941,0.260414532,0.187610144,-1.497977216,0.208423409,-0.180699216,-1.133145397,0.217704353,-0.279707376,0.156174632,0.225446418,-0.23098758
23,3026,T,"I threw you a curve in there; I said two hours. So we normally know speed as miles per what, guys? ",Q,SK,0.179056474,-0.153538912,0.168452432,0.151528902,-0.188914767,-0.165874855,-0.214960671,-0.191476174,0.179562469,0.181964233,0.179234227,0.290016005,-0.192806059,0.127961022,0.478813205,-0.141982722,-10.2243126,0.171987724,-0.185623901
24,3026,S,Hour. ,Rs,SK,0.063724288,-0.159517375,0.137662385,0.109516196,-0.069369312,-0.087165352,-0.147868362,-0.030029709,0.08283711,0.050979684,0.104846254,0.060612645,-0.050103829,0.111733068,-4.056850997,-0.13754513,0.079790463,0.07388292,-0.071214822
25,3026,T,Hour. Miles per hour. ,Fy,SK,0.138490471,-0.236453367,0.243914604,0.143683064,-0.146910769,-0.144511031,-0.234303827,-0.133521335,0.155633547,0.135723617,0.186931362,0.137125014,-0.159409266,0.139347803,-6.035076374,-0.197392182,0.259744753,0.149090386,-0.147822116
26,3026,T,"We’re just trying to calculate how much distance can you travel in a certain amount of time, ok? ",E,PD,0.165090733,-0.216502185,0.218223651,0.182567397,-0.177152436,-0.190666792,-0.236792429,-0.192863806,0.174496835,0.169024982,0.174202049,-6.867498474,-0.177578062,0.084133259,0.171024849,-0.198637079,0.243601457,0.192986975,-0.230773657
27,3026,T,"So of course, the farther you go in the less time it faster or slower? ",Q,PD,0.240404858,-0.267500996,0.245415594,0.295493238,-0.251875139,2.875842368,-0.257715043,-0.25192288,0.256619041,0.221048231,0.257574211,0.260685546,-0.221273179,-1.502360844,0.243234531,-0.3244643,0.211045736,0.293611444,-0.260564572
28,3026,S,Faster. ,Rs,PD,0.154714835,-0.236418715,0.181415984,0.260975897,-0.179737907,-0.300926221,-0.21253029,-0.13891359,0.2081409,0.133814464,0.197865908,0.158185342,-0.112122826,-2.529219001,0.161006924,-0.329848344,0.057559735,0.217975507,-0.190391754
29,3026,T,"Faster, right?  It would go faster. ",Fy,PD,0.274976291,-0.351805378,0.309545002,0.370872616,-0.312463661,-0.465152335,-0.331296719,-0.296847157,0.343589233,0.259975789,0.326460844,0.28348406,-0.252437761,-3.822080303,0.291710508,-0.485847004,0.226398662,0.365229267,-0.326587514
30,3026,T,Or the less distance you cover in the same amount you’re probably going… ,Fq,PD,0.623981099,-0.742411085,0.569519776,0.883933204,-0.567404476,-0.71167083,-0.728094836,-0.450237439,0.655897228,0.50213306,0.612051962,0.63231088,-0.491520718,1.287701401,0.612634377,-0.902941108,0.432861172,0.62227577,0.929256199
31,3026,S,Slower.   ,Rs,PD,0.089049235,-0.137698251,0.109880741,-2.530188877,-0.099381295,-0.135008498,-0.159847283,-0.040357925,0.120436958,0.067886683,0.127794976,0.095493734,-0.0549481,0.163415544,0.086886709,-0.164500902,-0.004122113,0.093413495,-0.161169486
32,3026,T,"Slower, so speed is all about that distance and time relationship. ",Fs,MT,0.477418148,-0.584423404,0.479261992,0.663231418,-0.465017795,-0.610690298,0.604439412,-0.397153765,0.528524817,0.406513367,0.495098164,0.492409988,-0.3996465,-0.992140406,0.494177942,-0.758816683,0.36387874,0.52033778,-0.530576875
33,3026,T,"And we’re going to talk about average speed vs. instantaneous speed, ok? ",P,SK,0.555028323,-0.674664562,0.52066514,0.765585454,-0.516792136,-0.633469987,-0.656362327,-0.419849668,-1.265065349,0.461080201,0.574796096,0.579247108,-0.468992451,1.143092593,0.598381303,-0.809399631,-0.885000873,0.564753591,-0.578654123
34,3026,T,"If I did drive to Houston and I took an average speed, what does average mean? ",Q,SK,0.165045275,-0.205120282,0.164233659,0.172683456,-0.170382586,-0.167614296,-0.167827877,-0.157109884,0.159644711,-6.692292968,0.171309811,0.167719879,-0.162935355,0.22689347,0.17106644,-0.228914267,0.162430513,0.162925889,-0.175261964
35,3026,T,You all just did this on your test. ,P,,0.176145146,1.544769224,0.170514722,0.182633514,-0.171327699,-0.156609821,-0.195167144,-0.123407418,-1.597036531,0.135921432,0.181681763,-1.569399526,-0.142886649,0.189556394,0.154729107,-0.191838199,0.125624714,0.153617437,-0.175260325
36,3026,T,What does average mean? ,Q,SK,0.123236383,-0.17187447,0.124387707,0.150766624,-0.127699888,-0.135090912,-0.13568947,-0.101432646,0.122577963,-5.596662173,0.132870848,0.12436455,-0.107694954,0.198495158,0.125821992,-0.19373706,0.088672407,0.123016239,-0.132385008
37,3026,T,"If I take an average of anything, what am I doing? ",Q,SK,0.097440378,-0.175813752,0.116068481,0.170710823,-0.102408948,-0.113508648,-0.144721409,-0.067247952,-4.583536204,0.08499269,0.165738983,0.11010342,-0.108732828,0.227328815,0.114638991,-0.187644769,0.05477185,0.118320751,-0.105340696
38,3026,S,Taking…,Rs,SK,0.080056249,-0.113652113,0.074576903,0.14896428,-0.074907467,3.094810525,-0.099359804,-0.04134479,0.076021264,0.052833132,0.086114296,0.09362059,-0.034186599,0.221454225,0.068963086,-0.116466086,-0.014072833,0.097273099,-0.078970224
39,3026,T,Raise your hand. Jason? ,P,SK,0.239540733,-0.25785629,0.164603868,0.185273121,5.521939703,-0.167114582,-0.163746457,-0.141685337,0.154543014,0.148470186,0.166520493,0.158893615,-0.147615181,0.193997272,0.161797419,-0.229562748,0.140136709,0.280613091,-0.166700478
40,3026,S,"Oh, oh, like you total it up… ",Rs,SK,0.287777376,4.719176849,0.214203888,0.206288474,-0.260435694,-0.192995648,-0.236885779,-0.15804646,0.228928458,0.186726187,0.22245887,0.214212377,-0.179147213,0.23296764,0.205747525,-0.205012863,0.150294755,0.181563702,-0.2308993
41,3026,T,"Yeah, I’m totaling up what? A list of what? ",Fq,SK,0.125887794,-0.183555811,0.172432135,0.160476,-0.136079618,-0.156574167,-0.195886961,-0.135079845,0.137426117,0.124097925,0.13771361,-5.808891233,-0.123502264,0.079816125,0.128614678,-0.170389259,0.161770273,0.150874634,-0.181902811
42,3026,S,The speeds. ,Rs,SK,0.053554896,-0.116464777,0.057977787,0.114238569,-0.056562058,-0.080885273,-0.082125457,-0.008637244,0.060800051,-3.770610838,0.068805911,0.052105669,-0.015627621,0.151164638,0.050414581,-0.135108381,-0.034257768,0.056500155,-0.060923416
43,3026,T,Correct.,Fy,SK,0.117891146,-0.165742851,0.119375956,0.200318098,-0.149710139,-0.146124296,-0.199251649,-0.0730428,0.130680083,0.113614034,0.134405372,0.145466949,-0.081904802,0.21284363,0.121607916,2.909162212,0.037365972,0.168421244,-0.141707322
44,3026,T,"I’m dividing it by how many different speeds I went, ok?  ",E,OD,0.126063292,-0.157256906,0.133862165,0.148767474,-0.189900787,-0.159738859,-0.205206793,-0.15578412,-1.83915181,0.123551669,0.159958975,0.175886516,-0.178588856,0.205742696,0.182721444,-0.188991029,0.118211229,-4.000914111,-0.177895439
45,3026,T,"Because I started biking, and I can bike around White Rock Lake  ",E,OD,0.156130061,-0.208971585,0.207757018,0.177517935,-0.167764363,-0.18287419,-0.227442608,-0.179656043,0.166023528,0.158755939,0.165861835,-6.625531105,-0.16521788,0.083146486,0.161331095,-0.192180435,0.224897187,0.183361298,-0.219603179
46,3026,T,and sometimes I’m going 15 miles an hour; ,E,OD,0.283170546,-0.374471593,-1.307590393,0.383600465,-0.283226758,-0.315431543,-0.373337398,-0.232284196,0.303803539,0.248320227,0.309356132,0.299105236,-0.266271485,0.469333654,-2.998259492,-0.395744351,0.295304889,0.290038438,-0.303357954
47,3026,T,"it depends if I’m going down a hill or not, ",E,OD,0.123236384,-0.171874472,0.124387707,0.150766626,-0.127699888,-0.135090913,-0.135689471,-0.101432647,0.122577966,-5.596662149,0.132870849,0.124364552,-0.107694956,0.198495162,0.125821995,-0.193737062,0.088672408,0.123016241,-0.13238501
48,3026,T,but at the end of my trip I look at my average speed and it might tell me I went an average of 10 MPH. ,E,OD,0.16407618,-0.237693155,0.185490493,0.217812046,-0.17081715,-0.164793977,-0.206439219,-0.156048497,-6.227456363,0.158993008,0.247580054,0.183745425,-0.209547326,0.289447076,0.192835076,-0.249387949,0.176550021,0.1891763,-0.173464501
49,3026,T,So that means it takes all my speeds and it’s going to average it all together. ,E,OD,0.143252492,-0.218355842,0.163796114,0.203092914,-0.149439587,-0.148767312,-0.187152403,-0.128298328,-5.713731306,0.135867908,0.222004719,0.160732298,-0.178042796,0.27003512,0.168398798,-0.230093206,0.138494343,0.167033942,-0.152175812
50,3026,T,"So on the average I did about 10 MPH even though at some points I may have gone faster or slower, right? ",E,OD,0.205877549,-0.240613024,0.232063499,-2.943035714,-0.220344063,-0.230063429,-0.272262569,-0.193158651,-1.935049944,0.196195131,0.266200898,0.223624588,-0.224146088,0.262012113,0.220691313,-0.269925982,0.201376193,0.214701487,-0.292446865
51,3026,T,Are you going to go the same speed as you drive to school?   ,Q,PD,-0.92807494,-0.748253153,0.554255385,0.841171843,-0.566854806,-0.699468392,-0.715516702,-0.436448835,0.64142857,0.487487186,0.597955558,0.60463811,-0.475413025,1.249317924,0.59684705,-0.880229383,0.413890171,0.603450186,-0.633995744
52,3026,T,What do you do between? ,Q,PD,-0.085808078,-0.005645391,-0.074842052,0.041182458,0.085713602,0.027526007,0.025002568,0.176953545,-0.062755765,-0.118508184,-0.059323964,-0.092412093,0.168507045,0.056503599,-0.100400243,-0.017851024,-0.280118119,-0.07653201,0.081999768
53,3026,S,Stop. Go. ,Rs,PD,-3.66574948,-0.164987447,0.072863365,0.124510142,-0.107466826,-0.099771972,-0.126271843,-0.032953956,0.074894487,0.052335515,0.084354694,0.067477573,-0.035070859,0.104296813,0.066710883,-0.113186488,-0.010000318,0.071853287,-0.09774856
54,3026,T,"Stop, at a stop light, and then what do you do? ",Fq,OD,-5.455720185,-0.244658474,0.146716073,0.166173983,-0.20405704,-0.163420961,-0.201909049,-0.137907706,0.143719613,0.137757367,0.156194023,0.147422405,-0.136859811,0.12819342,0.150266447,-0.16085422,0.125058582,0.146045936,-0.187622726
55,3026,S,Go. ,Rs,OD,-0.085808078,-0.005645391,-0.074842052,0.041182458,0.085713602,0.027526007,0.025002568,0.176953545,-0.062755765,-0.118508184,-0.059323964,-0.092412093,0.168507045,0.056503599,-0.100400243,-0.017851024,-0.280118119,-0.07653201,0.081999768
56,3026,T,"You go, and as you start leaving the stop light what do you do? ",Fq,OD,0.247664475,-0.222567027,0.210738918,0.325514554,-0.21524995,-0.20923139,-0.252366439,-0.20571067,0.200813595,0.203427062,0.214101534,0.260840709,-0.212084526,0.252953198,0.21720648,-0.239899292,0.220084971,0.222884813,6.06028637
57,3026,T,As you leave you get a little what?,Q,OD,0.203390865,-0.229832857,0.137998767,0.169263047,4.917914581,-0.14548785,-0.142774342,-0.106281017,0.130398705,0.118805923,0.141426664,0.130970758,-0.112490486,0.178720197,0.132664345,-0.206039223,0.093441728,0.240930302,-0.139067117
58,3026,S,Faster. ,Rs,OD,0.154714835,-0.236418715,0.181415984,0.260975897,-0.179737907,-0.300926221,-0.21253029,-0.13891359,0.2081409,0.133814464,0.197865908,0.158185342,-0.112122826,-2.529219001,0.161006924,-0.329848344,0.057559735,0.217975507,-0.190391754
59,3026,T,You go a little faster. ,Fs,OD,0.219140002,-0.271588007,0.202417048,0.251751711,2.324846416,-0.277949073,-0.217241126,-0.175241826,0.214419246,0.168363968,0.212511265,0.186344287,-0.159078302,-1.606203169,0.190403496,-0.319943337,0.131780374,0.27853749,-0.210128022
60,3026,T,So the average speed is just talking about all your speeds averaged together. ,E,MT,0.163076012,-0.254658331,0.173000107,0.204106191,-0.170090685,-0.167610509,-0.18676582,-0.153958419,-2.803422085,0.157293113,-2.752306901,0.174433539,-0.18157465,0.248720877,0.19509041,-0.208209204,0.163082235,0.17570721,-0.173880179
61,3026,T,"Now if I want to take a speed instantaneously, ",E,EX,0.10777562,-0.140653721,0.132853836,0.141652798,-0.165777713,-0.141903997,-0.17140319,-0.129321968,0.156125242,0.103620424,0.118253731,0.147569371,2.119444826,0.173637269,0.157355003,-0.146119513,0.083713028,-3.651835997,-0.154709608
62,3026,T,"if I want to take a speed at one instance, that means at that one moment I want to know how fast I’m going, ",E,EX,0.509296637,-0.601751884,0.473363844,0.686135308,-0.51980539,-0.604378928,-0.633917538,-0.418300813,0.571741302,0.425978039,0.509240207,0.548342831,-0.453031608,1.041525826,0.545613266,-0.744506422,0.380324196,-2.73475507,-0.565789574
63,3026,T,so what kind of scale - what tool do I use to try to measure how I’m going at one particular second? ,Q,EX,0.161577337,-0.235372678,0.182887168,0.21604575,-0.168251842,-0.162870777,-0.204124801,-0.152718478,-6.165809357,0.156217996,0.244511014,0.18098385,-0.205766783,0.287117641,0.189902722,-0.24707258,0.171983339,0.186519217,-0.170909858
64,3026,S,Odometer. ,Rs,EX,0.117891146,-0.165742851,0.119375956,0.200318097,-0.149710139,-0.146124296,-0.199251649,-0.0730428,0.130680083,0.113614033,0.134405372,0.145466949,-0.081904799,0.21284363,0.121607912,2.909162205,0.037365972,0.168421244,-0.141707322
65,3026,T,What’s that called? ,Fq,EX,0.131091129,-0.17378599,0.084788562,0.1372429,3.709864339,-0.102234386,-0.100830115,-0.035472377,0.082110088,0.059477396,0.091239007,0.075125046,-0.042241106,0.148166047,0.074398198,-0.158992173,5.18E-05,0.161564724,-0.083800396
66,3026,S,Speedometer. Odometer. ,Rs,EX,0.185790888,-0.219108671,0.184115292,0.253363311,-0.22818472,-0.204007731,-0.274003055,-0.156374915,0.195158699,0.190988107,0.198981818,0.224759963,-0.165375417,0.264956975,0.195610635,3.884833282,0.143194003,0.250072329,-0.216276353
67,3026,T,What’s the difference between an odometer and a speedometer? ,Q,EX,0.219740759,-0.245791582,0.21648496,0.279885919,-0.26742201,-0.232949449,-0.311378758,-0.198040973,0.227398008,0.229675144,0.231270041,0.26440647,-0.207110726,0.291013648,0.232611995,4.372668819,0.196108018,0.290897872,-0.253560868
68,3026,S,A speedometer tells you how fast you’re going. ,Rs,EX,0.749419972,-0.915692438,0.689113397,1.070072754,-0.684789318,-0.879150643,-0.886670969,-0.531746362,0.807591773,0.601701727,0.744702105,0.756134271,-0.584666116,1.632617472,0.744443676,-1.123955048,0.503786572,0.755406089,-0.781087193
69,3026,T,"Right, the speedometer tells you how fast you’re going. ",Fs,EX,0.690389601,-0.840942372,0.647206834,0.971855516,-0.644856001,-0.837521944,-0.813902998,-0.518918756,0.752832738,0.565774291,0.696427718,0.698242356,-0.552680546,0.508024294,0.690772079,-1.043603484,0.485695075,0.714918912,-0.72803654
70,3026,T,It tells you your instant speed at that one moment. ,E,EX,0.749419972,-0.915692438,0.689113397,1.070072754,-0.684789319,-0.879150644,-0.886670969,-0.531746362,0.807591772,0.601701727,0.744702105,0.756134271,-0.584666116,1.632617472,0.744443677,-1.123955048,0.503786572,0.755406089,-0.781087193
71,3026,T,"What does the odometer do, guys? ",Q,EX,0.138490471,-0.236453367,0.243914604,0.143683063,-0.146910769,-0.144511031,-0.234303827,-0.133521335,0.155633548,0.135723616,0.186931362,0.137125015,-0.159409264,0.139347803,-6.035076364,-0.19739218,0.259744751,0.149090386,-0.147822116
72,3026,S,How far you traveled? ,Rs,EX,0.144078459,-0.191448329,0.164536258,0.200292234,-0.169810323,-0.170063161,-0.222673367,-0.128392192,0.155171192,0.144064899,0.157401182,-2.474483454,-0.128216102,0.171091409,0.149389605,1.865696361,0.127932783,0.187839776,-0.184428327
73,3026,T,"Right, how far you traveled. ",Fy,EX,0.190898847,-0.217746981,0.206989745,-2.450621056,-0.217093165,-0.221833651,-0.271974391,-0.165356097,0.217154882,0.183947792,0.224659644,0.214433252,-0.180154024,0.241585556,0.197890789,1.299005715,0.154619933,0.21589012,-0.273023031
74,3026,T,So you can get in your car and you can reset the odometer so if you’re about to leave your house ,E,EX,0.153612924,-0.216021398,0.231214351,0.217437243,-0.15926356,-0.151295437,-0.150479616,-0.149891506,0.188277376,0.150615411,0.158592197,0.155161475,7.366392965,0.215364952,0.177638333,-0.145897995,0.157097532,0.191154095,-0.160480712
75,3026,T,"and you want to calculate how good you’re driving, how fast you’re driving, you can set it to zero, ",E,EX,-6.450148351,-0.288920156,0.187745355,0.189320562,-0.257718269,-0.19878151,-0.243929719,-0.196215345,0.181955794,0.18521395,0.19610476,0.191836201,-0.193409229,0.141469313,0.196686204,-0.187336293,0.200091305,0.187264072,-0.237552819
76,3026,T, and as you get there it’s going to calculate your miles and then you can calculate your time. ,E,EX,0.12637924,-0.152796756,0.15049805,0.127418909,-0.20331159,-0.16508254,-0.224302545,-0.169670203,0.177203282,0.126509812,0.145003237,0.17954201,-0.182267232,0.167547107,-1.186758929,-0.177554924,0.150073343,-4.900540116,-0.187692071
77,3026,T,"Ok, well send it. Ok. Alright, let’s see our class average. Hold on, we’ll do that in a minute. Alright, so let’s go over your little mini quiz here. So I asked you in your own words what equilibrium meant.",P,,0.175320972,-0.248135305,0.197205457,0.225760378,-0.182361034,-0.173448377,-0.216854099,-0.17103359,-6.504867888,0.171480562,0.261390735,0.196172513,-0.226559773,0.299929532,0.206030665,-0.259807107,0.197100088,0.201133175,-0.184960393
78,3026,T,"We have several examples with Mr. Denero and a class. Let’s see what you told me here. Alright, equal amount, the same, two equal things - I think this is supposed to say balance. I think you’re [inaudible], but I understand that’s balance. Equal and in balance. Now whenever you give a definition of a word you don’t want to use the same form of the word, so if I say it’s equilibrium, I don’t want to see equal in the definition.",P,,0.184720048,-0.220765376,0.182984695,0.182997261,-0.190468562,-0.182919418,-0.182951833,-0.183310937,0.177087886,-7.207883942,0.189398734,0.188122386,-0.188930837,0.240257381,0.192357945,-0.245468246,0.197140209,0.181706901,-0.195439354
79,3026,S,Some did what? ,Q,SK,0.147682831,2.947368508,0.10581166,0.144373715,-0.130629708,-0.110300028,-0.138677649,-0.032421457,0.119546874,0.072263298,0.116790307,0.099228201,-0.048776866,0.166793627,0.090942112,-0.134827173,-0.011110073,0.08477781,-0.11356215
80,3026,T,Ignore. So the best thing you can probably tell me is if it’s balanced. Remember we talked about equilibrium where it’s reached a stable stage or it’s in balance. ,E,SK,0.187822476,-0.196428326,-6.568708849,0.297955414,-0.228100965,-0.18895877,-0.223502014,-0.187858825,0.182049876,0.184531664,0.192945171,0.250791834,-0.223122108,0.151484452,0.238733819,-0.181379594,0.197801321,0.187203879,-0.221915293
81,3026,T,"Think about the volcano. If the volcano is building up pressure, is that equilibrium, if it’s got pressure underneath it? ",Fq,SK,0.21274771,-0.200057491,0.194112063,0.235189738,-0.203404322,5.548638134,-0.198849702,-0.215983457,0.187042887,0.189906185,0.202464903,0.242446736,-0.196341513,0.353414726,0.204453749,-0.195358136,0.198763396,0.236317187,-0.207746218
82,3026,S,Yeah. ,Q,OD,0.055322503,-0.124252338,0.090007406,0.120711486,-0.062148545,-0.095207443,-0.122257118,-0.031068715,0.070698823,0.043229222,0.072034418,-3.903398186,-0.026165828,0.072045283,0.052276371,-0.11954318,0.014474142,0.075072419,-0.093935284
83,3026,T,"Yeah,  if it’s building up pressure? ",Fq,OD,0.15062154,-0.172955587,0.157001631,0.188728794,-0.14883854,3.0334438,-0.172989647,-0.14535592,0.142748558,0.133701835,0.151793487,-1.811872457,-0.131523035,0.229225067,0.145301393,-0.167312165,0.133223298,0.173075314,-0.166937751
84,3026,S,No. ,Ry,OD,-0.085808078,-0.005645391,-0.074842052,0.041182458,0.085713602,0.027526007,0.025002568,0.176953545,-0.062755765,-0.118508184,-0.059323964,-0.092412093,0.168507045,0.056503599,-0.100400243,-0.017851024,-0.280118119,-0.07653201,0.081999768
85,3026,T,"No.  Is the pressure greater or less underneath the crust as it is on the outside? Where’s there the most pressure. Think about it. If your volcano is building up pressure, is it going to be greater or less than the air pressure outside the volcano? Hello, Cory, is it greater or less? ",Fq,PD,0.229334144,-0.210858163,0.209053962,0.24596792,-0.219466429,5.85536659,-0.211285939,-0.237813291,0.20092059,0.207040317,0.21700873,0.261050004,-0.216610878,0.369909788,0.221390082,-0.205219643,0.225367925,0.253697698,-0.223843217
86,3026,S,Less. ,Rs,PD,-0.085808078,-0.005645391,-0.074842052,0.041182458,0.085713602,0.027526007,0.025002568,0.176953545,-0.062755765,-0.118508184,-0.059323964,-0.092412093,0.168507045,0.056503599,-0.100400243,-0.017851024,-0.280118119,-0.07653201,0.081999768
