number,TeacherID,speaker,utterance,ut,rc,PCA_best_dim_1,PCA_best_dim_2,PCA_best_dim_3,PCA_best_dim_4,PCA_best_dim_5,PCA_best_dim_6,PCA_best_dim_7,PCA_best_dim_8,PCA_best_dim_9,PCA_best_dim_10,PCA_best_dim_11,PCA_best_dim_12,PCA_best_dim_13,PCA_best_dim_14,PCA_best_dim_15,PCA_best_dim_16,PCA_best_dim_17
11,3026,T,and what two things do we use to calculate speed? ,Q,SK,1.398468521,0.244895638,-0.663478003,1.690528068,-1.130288838,-1.749037202,2.718679898,-1.040796237,-0.124653906,0.69610283,-0.415359343,0.546797162,2.582808774,-0.368679046,0.182941565,0.771071912,-0.823934773
12,3026,S,Distance traveling over time. ,Rs,SK,1.948936958,-1.766013379,-0.166683813,-0.290899138,-0.140182992,0.985741371,-0.407855866,0.062261725,-0.622168927,-0.25849971,0.233098416,-0.431976859,0.137221465,-0.227217505,-0.319577289,-0.39428177,0.702933412
13,3026,T,Distance traveled over…,Fq,SK,-0.862475377,-0.633423337,-1.009123968,0.867397272,-0.058396686,-0.359216529,-0.44844286,-0.699988288,0.628878309,0.386769506,1.166275397,-0.177777432,-0.263482958,-0.243401988,-1.166533722,-0.657120247,-1.46936773
14,3026,S,Time. ,Rs,SK,1.358962265,-1.329589638,-0.041238051,0.01990282,0.3320242,0.535092503,0.026044039,0.026862266,-0.158338659,-0.060398988,0.693628988,-0.080788714,-0.080474468,-0.559132571,-0.326115771,-0.760869131,1.347938698
15,3026,T,Time. ,Fy,SK,1.358962265,-1.329589638,-0.041238051,0.01990282,0.3320242,0.535092503,0.026044039,0.026862266,-0.158338659,-0.060398988,0.693628988,-0.080788714,-0.080474468,-0.559132571,-0.326115771,-0.760869131,1.347938698
16,3026,T,"It’s how far you’re going, and how long did it take you to go that far, ok? ",E,SK,-1.786120108,-0.894117137,-1.586760708,-2.485435391,-0.568168804,-0.927526226,0.51974528,-0.389982092,0.550134999,-0.907047572,-1.122502374,-0.749930587,-0.178969741,0.316164777,1.385525088,-1.206196322,0.494871448
17,3026,T,"So if I’m driving to Houston to see my sister and I drive 50 - let’s say I drive 100 miles in two hours, ok? ",E,EX,-0.960642343,0.552816987,2.501428341,0.474254216,-2.447195479,-0.51601488,-1.35847766,-0.575673936,-0.050955765,-3.0830927,0.35316984,0.711126775,-2.488449764,0.251261079,-2.251534151,1.062767535,0.374986245
18,3026,T,"I can look at that and I can break it down into how many miles was I going per hour, probably. ",E,OD,0.387133627,1.999815181,0.484965125,-0.032070922,0.578648349,0.832561233,0.251355108,-0.263181078,0.095258919,-0.821421921,-0.160776109,-0.118497526,0.635960189,-0.216422444,0.40816608,-1.075671652,-0.660787163
19,3026,T,"If I went - if I made it 100 miles in two hours, think about it.",E,OD,-0.066049135,-0.035159155,0.277268142,-0.800136234,0.200799934,0.074925323,2.81033488,1.973457354,0.53337812,-0.20442626,3.421849088,0.174741028,0.141029097,5.44111875,-0.308370793,1.108893574,0.521964141
20,3026,T,"If I drove 200 - If I drove 100 miles and I did it in two hours, how many miles did I go each hour? ",Q,OD,-0.193479129,0.475221934,1.057167567,-0.395427807,1.63442387,0.283609038,0.954742027,0.130489047,-0.318092573,-0.478693774,1.229692192,-0.493396718,0.110473526,0.520363959,0.927894219,0.584021792,-0.961208502
21,3026,S,50,Rs,OD,-0.185417467,-0.281638353,0.982812857,-0.83716246,1.324879835,-0.154452881,-0.176095107,-1.055031361,0.351047051,1.148216286,-1.417447108,1.064675893,0.295750733,0.870443666,-1.367154546,0.180113094,0.23855067
22,3026,T,"I did 50, right? ",Fy,OD,0.269534561,-0.858552976,1.421076863,-0.369906781,0.833362763,0.117108045,-0.362316226,-0.325444725,-0.300361266,0.620588938,-0.133310242,0.370477412,0.613802561,0.130235312,-0.33380467,-0.980903592,0.591972809
23,3026,T,"I threw you a curve in there; I said two hours. So we normally know speed as miles per what, guys? ",Q,SK,-0.36939245,2.187576722,-0.375274807,0.675482528,1.300405544,4.404277803,0.310088519,-3.092683993,1.958940003,0.404865652,0.680581874,-2.988523174,-2.051958403,0.196998374,1.099432939,1.134808741,2.508435467
24,3026,S,Hour. ,Rs,SK,-0.370813297,1.13519443,0.137934819,0.383727351,1.156592217,2.210473513,0.962557959,-0.84312266,0.313680409,-0.702228672,-0.193564086,-0.134673892,0.39949654,-0.225828848,0.440040033,-0.148368544,-1.043285829
25,3026,T,Hour. Miles per hour. ,Fy,SK,-0.497009227,1.685034533,0.171341227,0.545336512,1.742827138,3.216400582,1.38773027,-1.230603732,0.400529049,-1.114963059,-0.333885878,-0.228300244,0.64370721,-0.372154293,0.626149082,-0.356265146,-1.561708415
26,3026,T,"We’re just trying to calculate how much distance can you travel in a certain amount of time, ok? ",E,PD,-0.260272151,1.891896961,-0.956043399,0.060782475,-1.219529057,-0.096056527,-2.251591304,0.839279221,-0.759838607,4.847525874,0.353863554,-1.466142182,-0.960278517,0.587323412,0.549197535,0.679945105,0.9913296
27,3026,T,"So of course, the farther you go in the less time it faster or slower? ",Q,PD,2.046450416,-1.747402496,-0.254676225,-0.588165693,-0.728357463,1.324232529,-0.813032671,0.065986926,-0.9865586,-0.395387401,-0.429615328,-0.738709162,0.352100623,0.313349105,-0.181726235,0.315070195,-0.393531667
28,3026,S,Faster. ,Rs,PD,1.358962266,-1.32958964,-0.041238051,0.019902819,0.332024201,0.535092504,0.026044039,0.026862266,-0.158338659,-0.060398991,0.693628989,-0.080788714,-0.080474468,-0.559132572,-0.326115772,-0.760869133,1.3479387
29,3026,T,"Faster, right?  It would go faster. ",Fy,PD,2.097654118,-2.012141573,-0.097418078,-0.000400286,0.505975113,0.70332907,-0.017040612,0.074373657,-0.307499555,-0.152218537,0.996903735,-0.147472478,-0.076249303,-0.872109879,-0.523084624,-1.275016031,2.025128379
30,3026,T,Or the less distance you cover in the same amount you’re probably going… ,Fq,PD,0.789301546,1.81893811,-0.444955984,-0.599891167,-0.601249636,-0.762495869,-0.348218954,-0.333379572,0.496693424,-0.362274479,0.555509922,0.027936517,0.367678688,-0.494931799,-0.800644718,-0.853196656,-0.259405806
31,3026,S,Slower.   ,Rs,PD,-1.091245662,-0.506770737,-0.895976246,-1.424625218,-0.33804748,-0.458298893,0.349940304,-0.255889769,0.379238387,-0.477761042,-0.618509928,-0.41555167,-0.141451015,0.212271971,0.836482107,-0.59218758,0.285991403
32,3026,T,"Slower, so speed is all about that distance and time relationship. ",Fs,MT,1.193343708,0.241167235,-0.499664539,0.055887916,0.233269264,-0.106665839,-0.399568025,0.120369921,-0.546914712,-0.672172727,0.295478168,0.231865649,0.402304622,-0.425614193,-0.312722061,-0.694882658,1.446387404
33,3026,T,"And we’re going to talk about average speed vs. instantaneous speed, ok? ",P,SK,1.186631658,1.912739319,-0.005465917,-0.692244069,0.887026356,-0.828353529,-0.148288852,-0.20998395,0.139533825,-0.594490924,0.24562295,-0.666401811,-0.603219792,-0.566339482,0.310143287,0.27380133,0.083160841
34,3026,T,"If I did drive to Houston and I took an average speed, what does average mean? ",Q,SK,-0.154224086,-0.738982743,0.313150269,0.489942464,0.300506124,0.236028103,-1.945040095,2.819152148,4.943700989,-0.484404503,-0.471726495,0.411734112,2.080301851,-0.932351556,0.724721477,1.892655974,0.334064977
35,3026,T,You all just did this on your test. ,P,,-0.272276966,0.372461554,1.079520544,-0.295114935,0.570923861,-0.709687455,-0.780521893,0.365920037,-0.831732136,1.22497989,0.7357198,-0.798129248,-0.142711277,-0.346373086,1.09888927,0.327215778,-0.337805181
36,3026,T,What does average mean? ,Q,SK,-0.148256977,-0.609899915,0.272812223,0.418370225,0.247775501,0.229793315,-1.602164523,2.337933371,4.143081348,-0.383130402,-0.378592163,0.351874896,1.718764076,-0.765822624,0.615238219,1.621784092,0.277314037
37,3026,T,"If I take an average of anything, what am I doing? ",Q,SK,0.518531083,-0.120353564,0.572532385,-1.004508843,2.321080156,-1.810600538,0.141395918,-0.071455626,-0.669344181,-0.258166658,0.954567488,-0.857596039,-1.185607312,-1.298844044,0.959632368,2.234797139,-0.936826728
38,3026,S,Taking…,Rs,SK,1.061527948,-0.837333254,-0.179769522,-0.561094886,-0.960292014,1.09991711,-0.755586472,0.002638406,-0.787677408,-0.27296134,-0.833981657,-0.649797477,0.346467069,0.730652182,0.080898901,1.000599394,-1.296451242
39,3026,T,Raise your hand. Jason? ,P,SK,-0.598431001,-0.793696283,1.598520318,1.736366013,-1.484495756,-0.622078625,2.200489151,-0.149576306,0.432590357,0.581239768,-1.877726551,-1.813232425,-0.97264504,-0.568762365,0.163833427,0.723328527,1.217979761
40,3026,S,"Oh, oh, like you total it up… ",Rs,SK,-1.133582515,-0.133890512,3.112048278,0.18442276,-0.000163237,-0.035658276,-0.807116874,0.535486917,-1.129506347,0.368617035,0.818595718,-0.336112954,1.530801375,-0.014522712,1.708879493,-1.94225717,-0.650510656
41,3026,T,"Yeah, I’m totaling up what? A list of what? ",Fq,SK,-0.238107978,1.60183716,-0.795548805,0.060739748,-1.031458522,-0.050013417,-1.882246831,0.697491763,-0.619241461,4.109356226,0.312178545,-1.228842028,-0.8241295,0.505995074,0.473982598,0.615488786,0.835427998
42,3026,S,The speeds. ,Rs,SK,-0.138311796,-0.394761869,0.205582149,0.299083159,0.159891126,0.219401999,-1.030705234,1.535902073,2.808715271,-0.214340233,-0.223368275,0.252109538,1.116201113,-0.488274402,0.432766126,1.170330948,0.182729138
43,3026,T,Correct.,Fy,SK,-0.331865684,-0.53842234,-0.90126104,1.72905037,0.837602961,-0.446334624,-0.445882205,0.339356789,0.254421579,-0.028475181,-0.222968967,-0.170999394,-1.010217706,0.688194388,-0.313192645,-0.895140664,-1.145675513
44,3026,T,"I’m dividing it by how many different speeds I went, ok?  ",E,OD,1.193416124,0.112309286,-0.217745728,0.721832799,0.220175749,-1.995377742,1.910653352,-0.736022284,-0.387542373,0.352617487,0.113881474,0.001884525,1.272639416,-0.815757826,0.528180513,1.454082684,-0.964568876
45,3026,T,"Because I started biking, and I can bike around White Rock Lake  ",E,OD,-0.255206054,1.825597577,-0.91935892,0.060772708,-1.176541507,-0.085532386,-2.167169711,0.80687066,-0.727702117,4.678801383,0.344335551,-1.411902148,-0.929158742,0.568734078,0.53200555,0.665212233,0.955694947
46,3026,T,and sometimes I’m going 15 miles an hour; ,E,OD,-0.238036185,1.580130371,-0.072479383,-0.132522979,0.845120985,1.936038569,1.189093889,0.373148825,-0.074536522,-0.566541586,-0.427710198,0.231518078,0.140885863,-0.800207062,-0.19896883,-0.446292245,-0.967673024
47,3026,T,"it depends if I’m going down a hill or not, ",E,OD,-0.148256972,-0.609899906,0.272812221,0.418370221,0.247775498,0.229793311,-1.602164517,2.337933363,4.143081332,-0.383130403,-0.378592165,0.351874895,1.718764069,-0.765822621,0.615238214,1.621784082,0.277314037
48,3026,T,but at the end of my trip I look at my average speed and it might tell me I went an average of 10 MPH. ,E,OD,0.750150182,-0.177032759,0.754863433,-1.39178807,3.170882986,-2.54122596,0.152007765,-0.072653848,-0.963645023,-0.396860025,1.270017666,-1.188568713,-1.584400953,-1.795449893,1.28392707,2.950205312,-1.275148936
49,3026,T,So that means it takes all my speeds and it’s going to average it all together. ,E,OD,0.677769213,-0.159320508,0.69788498,-1.27076331,2.905319598,-2.312905513,0.148691562,-0.072279404,-0.871676009,-0.353518348,1.171439483,-1.085139751,-1.459777937,-1.640260564,1.182584974,2.726640255,-1.169423244
50,3026,T,"So on the average I did about 10 MPH even though at some points I may have gone faster or slower, right? ",E,OD,-0.975732242,-0.67849141,-0.842047556,-2.189814133,0.682692514,-1.507572684,0.407128556,-0.291923512,0.049211528,-0.764502845,-0.347333591,-0.922224102,-0.657911096,-0.392097325,1.389915418,0.158957846,-0.09020399
51,3026,T,Are you going to go the same speed as you drive to school?   ,Q,PD,0.954329474,2.090733898,0.354502156,-0.32139867,-0.771288586,-0.837481822,-0.558252703,0.094237439,0.206021936,-1.286074334,-0.15482356,0.222416814,-0.429071051,-0.018444832,-0.724117788,-0.579627222,0.245886914
52,3026,T,What do you do between? ,Q,PD,-0.118421438,0.035514223,0.071122003,0.060509029,-0.015877624,0.198619374,0.112213339,-0.068160515,0.13998313,0.123240102,0.087079498,0.052578814,-0.0889248,0.066822042,0.067821933,0.267424661,-0.006440658
53,3026,S,Stop. Go. ,Rs,PD,-0.574624429,0.315719887,1.387537936,0.284621005,-1.332841463,-0.188474181,-0.684410954,-0.343063618,0.036557896,-1.613523498,0.231211768,0.409292293,-1.388667488,0.166726518,-1.188495947,0.698235385,0.20016558
54,3026,T,"Stop, at a stop light, and then what do you do? ",Fq,OD,-0.802725924,0.455822719,2.045745904,0.396676994,-1.991323383,-0.382020959,-1.0827231,-0.48051517,-0.015154722,-2.4819053,0.303277902,0.587649033,-2.038538834,0.216678758,-1.816654887,0.913640747,0.3034687
55,3026,S,Go. ,Rs,OD,-0.118421438,0.035514223,0.071122003,0.060509029,-0.015877624,0.198619374,0.112213339,-0.068160515,0.13998313,0.123240102,0.087079498,0.052578814,-0.0889248,0.066822042,0.067821933,0.267424661,-0.006440658
56,3026,T,"You go, and as you start leaving the stop light what do you do? ",Fq,OD,-1.562640103,-0.651637418,-0.965655458,-0.672625332,-1.48349231,-0.108260399,-0.34040867,-2.236574858,1.130230044,0.998455122,3.173227199,-0.142551043,0.966204268,-1.671911382,-2.285008316,-0.091378597,-1.694689866
57,3026,T,As you leave you get a little what?,Q,OD,-0.545096606,-0.701561783,1.428809394,1.550159681,-1.321315963,-0.530889958,1.968458506,-0.140530107,0.400078442,0.530350917,-1.659414766,-1.605920065,-0.874453903,-0.498141873,0.153165483,0.672672543,1.081933048
58,3026,S,Faster. ,Rs,OD,1.358962266,-1.32958964,-0.041238051,0.019902819,0.332024201,0.535092504,0.026044039,0.026862266,-0.158338659,-0.060398991,0.693628989,-0.080788714,-0.080474468,-0.559132572,-0.326115772,-0.760869133,1.3479387
59,3026,T,You go a little faster. ,Fs,OD,0.653163447,-1.243093022,0.675058995,0.778263547,-0.436662243,0.058180128,0.98288972,-0.040996791,0.071149593,0.204369448,-0.381801307,-0.865582311,-0.476055797,-0.632962992,-0.152131428,-0.215480594,1.440665766
60,3026,T,So the average speed is just talking about all your speeds averaged together. ,E,MT,0.233622872,-0.336531561,1.174906548,-1.393578021,2.635673053,-1.39565536,-0.116147958,-0.916168094,-0.199386782,0.756601057,-0.644843881,0.334978186,-0.464213102,-0.122287624,-0.588851192,1.457325625,-0.394553422
61,3026,T,"Now if I want to take a speed instantaneously, ",E,EX,0.845346479,0.145175596,-0.326159159,0.821077349,-0.647381366,-1.055774203,2.550691399,-0.063572482,0.092603479,0.382979398,0.773486097,0.398113946,1.649894852,1.406922871,0.026913885,0.834644866,-0.358853041
62,3026,T,"if I want to take a speed at one instance, that means at that one moment I want to know how fast I’m going, ",E,EX,1.690699999,1.678504481,-0.52513659,0.563975559,-0.78639679,-1.541386088,1.242608503,-0.374694452,0.083046289,-0.119846566,-0.420461332,0.337349665,1.499318196,-0.266924278,-0.08960619,-0.268530333,-0.313877966
63,3026,T,so what kind of scale - what tool do I use to try to measure how I’m going at one particular second? ,Q,EX,0.741464466,-0.174907289,0.748026019,-1.377265099,3.139015379,-2.513827506,0.151609821,-0.072608915,-0.952608741,-0.391659024,1.258188284,-1.176157238,-1.569446191,-1.776827174,1.271766019,2.923377506,-1.262461853
64,3026,S,Odometer. ,Rs,EX,-0.331865684,-0.538422338,-0.901261038,1.729050366,0.83760296,-0.446334622,-0.445882202,0.339356789,0.25442158,-0.028475182,-0.222968965,-0.170999393,-1.010217703,0.688194389,-0.313192644,-0.895140661,-1.145675511
65,3026,T,What’s that called? ,Fq,EX,-0.438427814,-0.517292782,1.089387547,1.17774702,-0.994956379,-0.348512625,1.504397215,-0.122437709,0.335054615,0.428573213,-1.222791202,-1.191295346,-0.678071627,-0.356900896,0.131829596,0.571360572,0.809839622
66,3026,S,Speedometer. Odometer. ,Rs,EX,-0.403013764,-0.729734523,-1.225388718,2.285230812,1.122096487,-0.66131929,-0.631914052,0.47519589,0.292567729,-0.079046943,-0.326318455,-0.245525462,-1.317315338,0.895318503,-0.440197504,-1.282662438,-1.525420462
67,3026,T,What’s the difference between an odometer and a speedometer? ,Q,EX,-0.438587804,-0.825390615,-1.387452559,2.563321035,1.26434325,-0.768811623,-0.724929976,0.54311544,0.311640803,-0.104332824,-0.377993199,-0.282788497,-1.470864156,0.99888056,-0.503699934,-1.476423326,-1.715292937
68,3026,S,A speedometer tells you how fast you’re going. ,Rs,EX,1.573282097,2.642463288,-0.271389492,-0.575646446,-0.307168745,-0.980574361,-0.350822383,0.301018856,0.285514551,-0.815851015,-0.317062505,0.084765704,0.168170161,-0.10260527,-0.305856852,-1.10713601,0.219022213
69,3026,T,"Right, the speedometer tells you how fast you’re going. ",Fs,EX,1.783792741,1.752937157,-0.251757594,-0.483155937,-0.14265295,-0.671884362,-0.302372863,0.271163221,0.161818718,-0.72054886,-0.047522342,0.034945379,0.128137778,-0.283018922,-0.374889622,-1.220807163,0.632904853
70,3026,T,It tells you your instant speed at that one moment. ,E,EX,1.573282097,2.642463289,-0.271389492,-0.575646446,-0.307168745,-0.980574361,-0.350822383,0.301018856,0.285514551,-0.815851015,-0.317062505,0.084765704,0.168170161,-0.10260527,-0.305856852,-1.10713601,0.219022213
71,3026,T,"What does the odometer do, guys? ",Q,EX,-0.497009227,1.68503453,0.171341226,0.545336512,1.742827136,3.216400577,1.387730267,-1.230603731,0.40052905,-1.114963057,-0.333885877,-0.228300245,0.643707208,-0.372154291,0.626149081,-0.356265146,-1.561708413
72,3026,S,How far you traveled? ,Rs,EX,-0.313911619,0.349033373,-0.962320385,1.172972464,0.101740144,-0.341853422,-1.146277095,0.543807587,-0.121157722,1.793703742,-0.019575459,-0.665993697,-1.029877713,0.676258286,-0.005671934,-0.352923723,-0.391766715
73,3026,T,"Right, how far you traveled. ",Fy,EX,-1.197967784,-0.79373902,-1.382167767,-0.590354546,0.088692813,-0.780775891,0.070892533,-0.052131117,0.436457611,-0.553618681,-0.773534159,-0.527340774,-0.602097468,0.522958143,0.645974818,-1.173470242,-0.283626022
74,3026,T,So you can get in your car and you can reset the odometer so if you’re about to leave your house ,E,EX,-0.066049135,-0.035159156,0.277268142,-0.800136235,0.200799934,0.074925322,2.81033488,1.973457356,0.53337812,-0.204426259,3.421849089,0.174741028,0.141029097,5.441118752,-0.308370793,1.108893574,0.521964142
75,3026,T,"and you want to calculate how good you’re driving, how fast you’re driving, you can set it to zero, ",E,EX,-0.929448976,0.533657626,2.411416996,0.458930321,-2.357146671,-0.489546947,-1.304007624,-0.556877143,-0.043883955,-2.964339633,0.343314641,0.68673611,-2.399578469,0.244430002,-2.165632074,1.033310392,0.360859322
76,3026,T, and as you get there it’s going to calculate your miles and then you can calculate your time. ,E,EX,1.061522908,0.576558806,-0.518773729,1.526597665,-0.553730355,-0.753809725,2.567717009,-1.137010998,-0.022648641,0.32546945,-0.425167398,0.402009868,2.300326953,-0.393645827,0.287827658,0.548532966,-1.033300809
77,3026,T,"Ok, well send it. Ok. Alright, let’s see our class average. Hold on, we’ll do that in a minute. Alright, so let’s go over your little mini quiz here. So I asked you in your own words what equilibrium meant.",P,,0.789235904,-0.186597374,0.785631796,-1.457141437,3.314287213,-2.664519,0.153798513,-0.072856048,-1.013308289,-0.420264531,1.323249883,-1.244420352,-1.65169738,-1.879252129,1.3386518,3.070930439,-1.33224081
78,3026,T,"We have several examples with Mr. Denero and a class. Let’s see what you told me here. Alright, equal amount, the same, two equal things - I think this is supposed to say balance. I think you’re [inaudible], but I understand that’s balance. Equal and in balance. Now whenever you give a definition of a word you don’t want to use the same form of the word, so if I say it’s equilibrium, I don’t want to see equal in the definition.",P,,-0.157032136,-0.799727604,0.332132876,0.523623519,0.325320536,0.238962122,-2.106393308,3.045608047,5.320463183,-0.532062904,-0.515554418,0.439903156,2.250437277,-1.010718114,0.776243009,2.020125101,0.360771302
79,3026,S,Some did what? ,Q,SK,-0.752897113,-0.070363736,1.971700924,0.13795511,-0.006056133,0.052195842,-0.462368044,0.30911913,-0.653447792,0.276600684,0.544277134,-0.190353541,0.923404059,0.015981571,1.093482909,-1.113626483,-0.408984408
80,3026,T,Ignore. So the best thing you can probably tell me is if it’s balanced. Remember we talked about equilibrium where it’s reached a stable stage or it’s in balance. ,E,SK,-1.312446973,0.420549553,-0.433112747,-1.230083492,-0.070011367,1.797209336,2.172310371,3.985827196,-1.453789695,0.853381375,-0.746773485,1.382868315,-0.987606186,-2.39684837,-1.927966193,-0.061791235,-0.755801071
81,3026,T,"Think about the volcano. If the volcano is building up pressure, is that equilibrium, if it’s got pressure underneath it? ",Fq,SK,2.005487455,-1.535611235,-0.380482741,-1.058378019,-1.715823524,1.820955298,-1.449826318,0.059277544,-1.529805838,-0.589922492,-1.57083058,-1.211698509,0.694780563,1.261716293,0.091360474,1.587139179,-2.328459708
82,3026,S,Yeah. ,Q,OD,-0.198212465,1.079729514,-0.506658536,0.060662842,-0.692931556,0.03286418,-1.217426774,0.442274337,-0.366166597,2.780650851,0.23714553,-0.801701747,-0.579061267,0.359604063,0.33859571,0.499467411,0.554805113
83,3026,T,"Yeah,  if it’s building up pressure? ",Fq,OD,1.021632435,-0.315225608,-0.468659791,-0.56101798,-1.29881898,1.017039513,-1.420406528,0.257855832,-1.040752272,1.055744035,-0.758948641,-1.076937758,0.101398835,0.877043193,0.21628579,1.116620769,-1.015828357
84,3026,S,No. ,Ry,OD,-0.118421438,0.035514223,0.071122003,0.060509029,-0.015877624,0.198619374,0.112213339,-0.068160515,0.13998313,0.123240102,0.087079498,0.052578814,-0.0889248,0.066822042,0.067821933,0.267424661,-0.006440658
85,3026,T,"No.  Is the pressure greater or less underneath the crust as it is on the outside? Where’s there the most pressure. Think about it. If your volcano is building up pressure, is it going to be greater or less than the air pressure outside the volcano? Hello, Cory, is it greater or less? ",Fq,PD,2.123482396,-1.622895983,-0.405571894,-1.120538411,-1.810264964,1.911085073,-1.536606301,0.066357434,-1.622571892,-0.629542637,-1.662936696,-1.28193614,0.738319751,1.328099309,0.092668173,1.660456653,-2.457460768
86,3026,S,Less. ,Rs,PD,-0.118421438,0.035514223,0.071122003,0.060509029,-0.015877624,0.198619374,0.112213339,-0.068160515,0.13998313,0.123240102,0.087079498,0.052578814,-0.0889248,0.066822042,0.067821933,0.267424661,-0.006440658
87,3026,T,"Huh? Exactly; you’re not listening. Marquis, is it greater or less? ",Fq,PD,-1.62281588,-0.680268737,-1.008854521,-0.703172598,-1.544642922,-0.121047055,-0.35926792,-2.326925456,1.171490331,1.034922416,3.301816686,-0.150681455,1.010167981,-1.744358608,-2.383042909,-0.106328732,-1.765033585
88,3026,S,I think less. ,Rs,PD,1.061527943,-0.837333251,-0.179769519,-0.561094886,-0.960292009,1.099917106,-0.755586467,0.002638409,-0.787677401,-0.272961338,-0.83398165,-0.649797474,0.346467069,0.730652185,0.080898901,1.000599392,-1.296451236
89,3026,T,"Inside the volcano, before it erupts?",Fq,PD,1.651502623,-1.27375699,-0.30521529,-0.871896851,-1.432499203,1.550565964,-1.189486367,0.038037864,-1.251507667,-0.471062062,-1.294512232,-1.000985621,0.564162999,1.062567247,0.087437391,1.367186746,-1.94145652
90,3026,S,It’s greater. ,Rs,PD,1.061527939,-0.837333252,-0.179769523,-0.561094886,-0.960292013,1.099917105,-0.755586469,0.002638399,-0.787677401,-0.272961335,-0.833981644,-0.649797475,0.34646707,0.730652174,0.080898894,1.00059939,-1.296451241
91,3026,T,It’s greater. ,Fy,PD,1.061527939,-0.837333252,-0.179769523,-0.561094886,-0.960292013,1.099917105,-0.755586469,0.002638399,-0.787677401,-0.272961335,-0.833981644,-0.649797475,0.34646707,0.730652174,0.080898894,1.00059939,-1.296451241
92,3026,T,"Now before it balances out it’s going to do what? If it wants to reach equilibrium, what does that volcano have to do? ",Q,PD,-1.243560883,0.398335977,-0.404022279,-1.15562623,-0.066888266,1.70498299,2.053458617,3.751943285,-1.361841261,0.811257838,-0.698666582,1.306120843,-0.935759181,-2.254713536,-1.812824569,-0.04279801,-0.712568739
93,3026,S,Erupt.,Rs,PD,-0.331865684,-0.538422338,-0.901261037,1.729050368,0.837602958,-0.446334624,-0.445882205,0.339356788,0.254421579,-0.028475183,-0.222968966,-0.170999393,-1.010217706,0.688194388,-0.313192646,-0.895140662,-1.145675511
