number,TeacherID,speaker,utterance,ut,rc,RP_best_dim_1,RP_best_dim_2,conversation_id,KMeans_Cluster,EM_Cluster
57,3026,T,As you leave you get a little what?,Q,OD,2.465667021,-0.157115304,31,1,12
58,3026,S,Faster. ,Rs,OD,1.921475257,1.475687563,32,0,5
59,3026,T,You go a little faster. ,Fs,OD,2.545174406,0.899680375,33,4,10
60,3026,T,So the average speed is just talking about all your speeds averaged together. ,E,MT,5.491634381,-1.166038592,33,4,10
61,3026,T,"Now if I want to take a speed instantaneously, ",E,EX,-1.474893536,-1.609867875,33,4,10
62,3026,T,"if I want to take a speed at one instance, that means at that one moment I want to know how fast I’m going, ",E,EX,2.207629309,-2.639815994,33,4,10
63,3026,T,so what kind of scale - what tool do I use to try to measure how I’m going at one particular second? ,Q,EX,3.707367752,1.52624555,33,4,10
64,3026,S,Odometer. ,Rs,EX,-2.890257199,1.13652054,34,3,27
65,3026,T,What’s that called? ,Fq,EX,1.802214182,-0.109505953,35,2,10
66,3026,S,Speedometer. Odometer. ,Rs,EX,-3.79096148,1.504253349,36,3,27
67,3026,T,What’s the difference between an odometer and a speedometer? ,Q,EX,-4.241313619,1.688119753,37,3,20
68,3026,S,A speedometer tells you how fast you’re going. ,Rs,EX,5.047615476,-3.060205447,38,4,23
69,3026,T,"Right, the speedometer tells you how fast you’re going. ",Fs,EX,4.878195371,-2.063829036,39,0,25
70,3026,T,It tells you your instant speed at that one moment. ,E,EX,5.047615477,-3.060205447,39,0,25
71,3026,T,"What does the odometer do, guys? ",Q,EX,-1.511518412,9.287428648,39,0,25
72,3026,S,How far you traveled? ,Rs,EX,-1.190931669,1.180516703,40,2,1
73,3026,T,"Right, how far you traveled. ",Fy,EX,-2.153636923,-1.18700774,41,2,4
74,3026,T,So you can get in your car and you can reset the odometer so if you’re about to leave your house ,E,EX,-1.852654415,-2.124595048,41,2,4
75,3026,T,"and you want to calculate how good you’re driving, how fast you’re driving, you can set it to zero, ",E,EX,-0.416914302,-1.414652245,41,2,4
76,3026,T, and as you get there it’s going to calculate your miles and then you can calculate your time. ,E,EX,-1.532089028,0.762037116,41,2,4
77,3026,T,"Ok, well send it. Ok. Alright, let’s see our class average. Hold on, we’ll do that in a minute. Alright, so let’s go over your little mini quiz here. So I asked you in your own words what equilibrium meant.",P,,3.923785086,1.609185742,41,2,4
78,3026,T,"We have several examples with Mr. Denero and a class. Let’s see what you told me here. Alright, equal amount, the same, two equal things - I think this is supposed to say balance. I think you’re [inaudible], but I understand that’s balance. Equal and in balance. Now whenever you give a definition of a word you don’t want to use the same form of the word, so if I say it’s equilibrium, I don’t want to see equal in the definition.",P,,0.052822829,0.103406568,41,2,4
79,3026,S,Some did what? ,Q,SK,-1.970098092,1.161020032,42,3,1
80,3026,T,Ignore. So the best thing you can probably tell me is if it’s balanced. Remember we talked about equilibrium where it’s reached a stable stage or it’s in balance. ,E,SK,3.181385847,8.433077356,43,0,19
81,3026,T,"Think about the volcano. If the volcano is building up pressure, is that equilibrium, if it’s got pressure underneath it? ",Fq,SK,-3.092156719,-4.359918659,43,0,19
82,3026,S,Yeah. ,Q,OD,1.009787533,0.650915569,44,2,28
83,3026,T,"Yeah,  if it’s building up pressure? ",Fq,OD,-1.202518617,-2.09857048,45,1,2
84,3026,S,No. ,Ry,OD,-0.188144341,0.033322097,46,2,17
85,3026,T,"No.  Is the pressure greater or less underneath the crust as it is on the outside? Where’s there the most pressure. Think about it. If your volcano is building up pressure, is it going to be greater or less than the air pressure outside the volcano? Hello, Cory, is it greater or less? ",Fq,PD,-3.253490745,-4.603987597,47,1,18
86,3026,S,Less. ,Rs,PD,-0.188144341,0.033322097,48,2,17
87,3026,T,"Huh? Exactly; you’re not listening. Marquis, is it greater or less? ",Fq,PD,-8.389998957,-3.871354135,49,7,13
88,3026,S,I think less. ,Rs,PD,-1.801484549,-2.40736721,50,1,12
89,3026,T,"Inside the volcano, before it erupts?",Fq,PD,-2.608154651,-3.627711864,51,1,18
90,3026,S,It’s greater. ,Rs,PD,-1.801484569,-2.407367215,52,1,12
91,3026,T,It’s greater. ,Fy,PD,-1.801484569,-2.407367215,53,0,22
92,3026,T,"Now before it balances out it’s going to do what? If it wants to reach equilibrium, what does that volcano have to do? ",Q,PD,2.986989873,7.948476081,53,0,22
93,3026,S,Erupt.,Rs,PD,-2.890257199,1.136520537,54,3,27
94,3026,T,"It’s going to erupt, because the whole point is the pressure under the crust vs. the pressure outside, it’s not the same.",Fs,PD,1.152818083,-3.868688053,55,2,2
95,3026,T,"It’s in disequilibrium and we have to balance it out by making it the same, so it’s got to erupt. Same thing with succession. ",E,PD,-0.41333977,-1.392027646,55,2,2
96,3026,T,"Johnny, explain to me what speed is. ",Q,SK,-0.001942434,0.087478278,55,2,2
97,3026,S,Speed is how far you move in a specific time? ,Rs,SK,2.558313858,0.001052379,56,4,5
98,3026,T,"Ok, how far you move in a certain amount of time. ",Fs,SK,1.728546648,1.021471646,57,5,3
99,3026,T,Ok? So how many of you all…How many of y’all sped to school this morning?,Q,EX,-2.365915697,7.77146904,57,5,3
100,3026,S,"Ran, yeah.",Rs,EX,2.792043497,-0.843918733,58,4,5
101,3026,T,Ran to the school? ,Fq,EX,4.174988833,-2.544617514,59,0,22
102,3026,T,How many of you all sped to school this morning. ,Q,EX,-1.511518411,9.287428661,59,0,22
103,3026,S,Sped? Ran to school? ,Rs,,1.527317053,3.360682421,60,0,22
104,3026,T,I mean speed. Did you all speed to school? ,Q,EX,3.525396766,-2.135039384,61,4,21
105,3026,T,"In cars, ran. ",P,,4.17498884,-2.544617524,61,4,21
106,3026,T,"It’s funny, because when I say speed to school you think that you’re going too fast, right? ",E,OD,1.321713669,-3.271157614,61,4,21
107,3026,T,"But really, the actual definition of speed is involving what two units as Johnny just told us?",Q,SK,-3.395661093,2.063178386,61,4,21
108,3026,T,What two units does it involve? ,Q,SK,6.505208355,-3.309661985,61,4,21
109,3026,S,Time and distance. ,Rs,SK,2.624681783,1.956476049,62,0,25
110,3026,T,"Time and distance, ok? ",Fy,SK,0.570418828,2.027286778,63,2,24
111,3026,T,"So really, it’s just a ratio of how far have you gone in a certain amount of time.",E,SK,1.908236438,1.114110671,63,2,24
112,3026,T,And you all deal with speed all the time. ,E,EX,-1.369238564,-1.460400152,63,2,24
113,3026,T,"You all are in baseball, you all are in track, you measure your speed ",E,EX,-4.511524893,1.7984396,63,2,24
114,3026,T,"When you drive to school everyday, roadtrips, when you’re on the interstate or in your neighborhood. E3.5 ",E,EX,-3.011489713,-4.237884199,63,2,24
115,3026,T,what are the units that we measure our speed in? ,Q,SK,-1.369238604,-1.46040014,63,2,24
116,3026,S,Miles per hour. ,Rs,SK,-1.364476848,8.2591946,64,5,14
117,3026,T,"We measure it in miles per hour, ",Fy,SK,-1.292978017,6.653332859,65,0,19
118,3026,T,"don’t we, whereas in science lab we may use [inaudible] per second. ",E,SK,-2.298196114,0.856699416,65,0,19
119,3026,T,"So if I’m driving to Houston to see my sister, ok? ",E,OD,-0.394037308,-1.269854809,65,0,19
120,3026,T,And let’s say I drive the first 100 miles and it takes me exactly two hours. ,E,OD,3.350270805,-0.220594432,65,0,19
121,3026,T,About how many miles did I go per hour?,Q,OD,-1.961370597,6.766575442,65,0,19
122,3026,S,50,Rs,OD,4.274090795,-2.195333964,66,4,0
123,3026,T,If I went 100 miles and it took me two hours. ,Q,OD,-0.816545878,-1.212223135,67,1,26
124,3026,S,50 each hour. ,Rs,OD,2.198512829,2.660487643,68,0,25
125,3026,T,"Right, and what did you have to do to figure that out? ",Fq,OD,-1.109798573,-2.624571494,69,1,2
126,3026,S,Divide by two.,Rs,OD,1.333321129,-5.655718691,70,6,7
127,3026,T,"You just divide it, right? That’s all speed is. ",Fs,OD,3.037382623,-2.373808109,71,4,10
128,3026,T,"All speed is, is just a ratio of your distance to your time, ",E,PD,2.499881447,0.212295154,71,4,10
129,3026,T,"so if you know your speed and your time you can tell me how far you’ve gone, or, if you know your speed and your… I said that backwards. ",E,PD,0.886843164,-2.374022654,71,4,10
130,3026,T,"If you know your speed and your time you can calculate how far you’ve gone,",E,PD,-1.566087654,-1.709353855,71,4,10
131,3026,T,"or if you know your total distance and if you know your total time, you can also calculate your speed,  ",E,PD,0.780919029,0.256675392,71,4,10
132,3026,T,and that’s our formula that you just looked up. ,E,SK,1.608753471,0.959712303,71,4,10
133,3026,T,So what’s the actual formula for speed? ,Q,SK,5.910265732,-3.162061316,71,4,10
134,3026,S,Average of distance over time. ,Rs,SK,3.003561982,1.890388105,72,0,5
135,3026,T,Right. Your total distance over total time. ,Fy,SK,3.327888323,2.437264542,73,4,21
136,3026,T,"That’s your average speed, which brings me to question two. ",E,SK,3.274533076,1.360365165,73,4,21
137,3026,T,There’s average speed and there’s instantaneous speed. ,E,SK,4.489381299,-1.66844069,73,4,21
138,3026,T,So what is your average speed? ,Q,SK,2.697420172,1.139191317,73,4,21
139,3026,T,"Speed itself is distance over time, but what is your average speed? ",Q,SK,3.382442215,1.824299814,73,4,21
140,3026,T,"If you had to take an average, what does that mean?",Q,SK,-0.001942435,0.087478282,73,4,21
141,3026,T,"We’ve been doing math [inaudible], math practice.  ",P,SK,2.420082157,-9.719319188,73,4,21
142,3026,S,You add and divide. ,Rs,SK,1.840476286,-7.552065621,74,6,7
143,3026,T,One person – raise your hand. One person. Ron? ,P,SK,5.265772135,-3.189102428,75,4,23
144,3026,S,Go half the speed you regularly go? ,Rs,SK,3.058115753,1.277424936,76,0,25
145,3026,T,You go half the speed your regularly go?  If I’m averaging speeds? ,Fq,SK,3.418811302,1.415658626,77,0,25
146,3026,S,Like if... ,Rs,SK,4.274090681,-2.195333901,78,4,0
147,3026,T,"Let me put it this way, I’ve been starting to bike.",E,OD,-2.877044694,-4.034493398,79,2,2
148,3026,T,"I ride my bike; I’m training for the MS 150, so if I get on my bike and I ride around White Rock Lake, ",E,OD,0.037554936,0.098965954,79,2,2
149,3026,T,I’m not always going to be going the same speed at all times. ,E,OD,5.047615476,-3.060205446,79,2,2
150,3026,S,No. ,Ry,OD,-0.188144341,0.033322097,80,2,17
151,3026,T,Same thing in your car; are you always going to be going the same speed all the way to your destination?,Q,OD,5.538467955,-3.350223652,81,4,23
152,3026,S,No. ,Ry,OD,-0.188144341,0.033322097,82,2,17
153,3026,T,No. Why? What’s happening between? ,Fq,OD,-0.802580497,-1.738606966,83,1,2
154,3026,S,The speed limit goes faster or slower.,Rs,OD,5.26577213,-3.189102423,84,4,23
155,3026,T,"Yeah, the speed limit may change. ",Fs,OD,1.325763262,-0.138811178,85,2,1
156,3026,T,"You may have to slow down for a school zone, or what else? ",Fq,OD,-4.241313622,1.688119757,85,2,1
157,3026,S,You have to get to the highway. ,Rs,OD,-0.650993979,1.147646796,86,2,19
158,3026,T,George said if you have to go on the freeway you might have to speed up to get on it. ,Fs,OD,0.010471025,0.091088692,87,2,28
159,3026,T,"He’s right. Like when I ride my bike around the lake, sometimes I’m going down hill and I go about 15, 18 MPH, ",E,OD,3.110696402,8.256858706,87,2,28
160,3026,T,but then if I’m going up a hill I’m really tired and I’m going to slow down to like 9 MPH. ,E,OD,-3.056304712,-4.30568112,87,2,28
161,3026,T,"Ok? So at the end of my trip I look at my speedometer and it tells me my average speed may be 10, but at some points I was doing 15; ",E,OD,3.78890626,0.435760177,87,2,28
162,3026,T,"sometimes I did 9, so what did my average speed do? ",Q,OD,-0.263524152,1.627814323,87,2,28
163,3026,T,How do I calculate it? ,Q,PD,-0.97554052,-0.962492732,87,2,28
164,3026,S,"It changed, so you add all the speeds up and divide by the number. ",Rs,PD,2.347631435,-9.448412517,88,6,7
165,3026,T,"Right, add all my speeds up and divide it by how many times it took the speed, right?",Fs,PD,3.522630728,-3.360793614,89,4,10
166,3026,T,And that’s where I get my average speed. ,Fs,,2.697420172,1.139191317,89,4,10
167,3026,T,"So I can say my average speed from here to Houston was about 60 MPH, but that doesn’t mean I was going 60 the whole time, does it? ",Q,PD,0.041027238,0.099975862,89,4,10
168,3026,S,No. ,Ry,PD,-0.188144341,0.033322097,90,2,17
169,3026,T,"Because you know somewhere between there I probably had to stop and get gas, slow down, speed up to get on the freeway. ",Fs,PD,0.029091212,0.096504305,91,4,21
170,3026,T,Now how is that different from instantaneous speed? What’s instantaneous speed? Raise your hand. ,Q,SK,5.234509798,-2.592408612,91,4,21
171,3026,T,"Say it again louder, Travis. ",P,SK,-1.10979857,-2.624571486,91,4,21
172,3026,S,To keep from exceeding the speed limit. ,Rs,SK,4.720380488,-2.866859975,92,4,23
173,3026,T,"We use it to keep from going over the speed limit, so…",Fs,SK,3.695180144,-2.214106715,93,4,2
174,3026,T,Well we use the odometer to measure what? ,Q,EX,-0.001942443,0.087478287,93,4,2
175,3026,S,Speed. How far you went. The distance. ,Rs,EX,-3.101464805,-2.098778004,94,1,12
176,3026,T,"Right, odometer measures the distance ",Fy,EX,0.560933477,-0.757855131,95,2,17
177,3026,T,and you speedometer measures what? ,Q,EX,-2.564082668,1.536919341,95,2,17
178,3026,S,Average. Speed. ,Rs,EX,2.697420172,1.139191317,96,0,5
179,3026,T,"Speed, ok? ",Fq,EX,-0.549568455,-0.143256524,97,4,21
180,3026,T,So instantaneous speed means the speed I’m going when?,Q,OD,5.265772134,-3.189102426,97,4,21
181,3026,S,When you start. ,Rs,OD,-5.10925708,-2.309483622,98,7,6
182,3026,T,"Well any time, right?  ",Fy,OD,2.62468179,1.956476052,99,2,10
183,3026,T, If I want to know my speed at any given time what am I going to look at? ,Q,EX,0.908258881,-2.703319005,99,2,10
184,3026,S,The speedometer. ,Rs,EX,3.084205535,-1.900132612,100,4,5
185,3026,T,"I’m going to look at my speedometer, and I’m going to know exactly how fast I’m going at that one moment. ",Fs,EX,5.702085448,-3.446896388,101,4,0
186,3026,T,That’s instantaneous speed. ,E,SK,4.174988838,-2.544617522,101,4,0
187,3026,T,"Now average speed, remember, is an average of all my what? ",Q,SK,3.252711561,1.605550583,101,4,0
188,3026,S,Speeds. ,Rs,SK,-0.064009735,0.069426213,102,2,17
189,3026,T,All my different speeds from point A to point B. ,Fs,SK,0.010471024,0.091088691,103,2,17
190,3026,S,And then you divide by the number. ,Rs,SK,1.840476286,-7.552065621,104,6,7
191,3026,T,"Right, so I can measure my speed exactly as I go up a hill, and I could later on give my average, so that’s two different things, ok?  ",Fq,SK,3.746716359,1.541325584,105,4,21
192,3026,T,"We’re going to look at speed today and we’re going to do some calculations using some equipment that you see on your desk. Questions on your bell ringer? We need to jump back to yesterday for a minute. We did not get to finish our questions over equilibrium, did we? ",P,,3.180074705,-9.833161346,105,4,21
193,3026,T,"T:  I know, I’m fixing it. Ok, so in your own words, what does equilibrium mean? ",Q,SK,7.620767138,-3.866826003,105,4,21
194,3026,T,"Ok, we talked about equilibrium, ",P,SK,-0.171162005,1.22444763,105,4,21
195,3026,T,"[inaudible], when an eco-system reaches that climax community, so let’s see what you all said. ",P,SK,2.98698987,7.948476079,105,4,21
196,3026,T,"Alright, balance, eco-system balance, 50/50 the same, eco system that stays in balance. ",Fs,SK,7.843878904,-3.978258812,105,4,21
197,3026,T,"I think the key word here is what, guys? ",Q,SK,-1.171242192,-2.801764402,105,4,21
198,3026,S,Balance.,Rs,SK,4.274090785,-2.195333957,106,4,0
199,3026,T,"Balance, meaning that we have reached a state… ",Fy,SK,1.478014366,4.064484897,107,4,21
200,3026,T,"One, two, three, four… Key word meaning balance, meaning the level, the system, whatever system we’re talking about; ",E,SK,-1.263407611,-3.067553763,107,4,21
201,3026,T," volcano, eco-system, you’re human body. ",E,OD,6.951431869,-3.532527598,107,4,21
202,3026,T," What ever the system is it’s always trying to keep a stable condition; a balance of the systems, ok? ",E,OD,-1.537966359,-1.673789038,107,4,21
203,3026,T," Like your body is always trying to balance temperatures, so I think you all got that pretty good. ",E,EX,7.843878902,-3.978258812,107,4,21
204,3026,T, Then we talked about the stages of succession in order.,E,SK,-2.769488679,-3.8717808,107,4,21
205,3026,T,Here were your choices. If we’re going from earliest to latest… ,P,SK,6.951431874,-3.532527599,107,4,21
206,3026,T,"Where are you glasses, sweetie? ",Q,,-0.359721814,-1.052658651,107,4,21
207,3026,S,I broke them. ,Rs,,-3.95193513,2.724740937,108,3,11
208,3026,T,"They’re broken. Here, have a seat right here. ",Fs,,-0.015583922,6.923909206,109,2,4
209,3026,T,That way we won’t block you in. ,P,,2.094053866,-8.50023903,109,2,4
210,3026,T,"Alright, so which one would be the earliest stage that needs to be on top, Andrew? ",Q,SK,-3.158067261,1.912818663,109,2,4
211,3026,S,Bare rock. ,Rs,SK,-2.339264625,-3.220930319,110,1,18
212,3026,T,"Bare rock, right? ",Fy,SK,-0.920303758,-1.867279892,111,1,2
213,3026,T,That’s after lava has hardened and we have nothing but bare rock. ,E,SK,-1.970365438,-3.336772605,111,1,2
214,3026,T,Is there life there yet? ,Q,SK,-0.316827445,-0.78116347,111,1,2
215,3026,S,No.,Ry,,-0.188144341,0.033322097,112,2,17
216,3026,T,Is there soil there yet? ,Q,SK,1.921475258,1.475687565,113,0,5
217,3026,S,No. ,Ry,SK,-0.188144341,0.033322097,114,2,17
218,3026,T,"No, bare rock, ",Fy,SK,-2.339264625,-3.220930319,115,1,18
219,3026,T,so what’s the next thing that can grow on bare rock? ,Q,SK,-2.769488678,-3.871780799,115,1,18
220,3026,S,Minor species. ,Rs,SK,2.624681791,1.956476054,116,0,25
221,3026,T,Minor species; ,Fy,SK,2.624681791,1.956476054,117,0,5
222,3026,T,do they need soil to grow? ,Q,SK,0.569666309,2.027233741,117,0,5
223,3026,S,Yes. No. ,Ry,SK,-5.109257114,-2.309483642,118,7,6
224,3026,T,No.,Fy,SK,-0.188144341,0.033322097,119,2,16
225,3026,T,So are shrubs going to be next? ,Q,SK,1.684855824,-0.512764577,119,2,16
226,3026,S,Yeah. I put shrubs. ,Rs,SK,0.301910487,1.187934211,120,2,28
227,3026,T,What do shrubs need to grow in? ,Q,SK,0.56966499,2.027233647,121,0,22
228,3026,S,Soil. ,Rs,SK,1.921475258,1.475687565,122,0,5
229,3026,T,Soil. ,Fy,SK,1.921475258,1.475687565,123,2,16
230,3026,T,Is there any soil yet on bare rock? ,Q,SK,-0.70241368,-1.64002009,123,2,16
231,3026,S,No. ,Ry,SK,-0.188144341,0.033322097,124,2,17
232,3026,T,"No, so shrubs can’t be next, so it has to be pioneer species. ",Fs,SK,2.976285056,2.196870298,125,0,25
233,3026,T,"Then when the pioneer species start breaking down that rock, to form soil, then we can have seedlings and shrubs, ",E,SK,3.609170932,2.629579933,125,0,25
234,3026,T,and then the last stage? ,Q,SK,1.626218066,4.556267236,125,0,25
235,3026,S,Virgin maple forest. ,Rs,SK,2.094053863,-8.500239084,126,6,7
236,3026,T,"Ok, Tim, you got that order correct. ",Fs,SK,-1.865418298,0.804891837,127,0,5
237,3026,T,"Some groups started with the pioneer species, ",Fs,SK,3.187247018,2.341106845,127,0,5
238,3026,T," but remember, before the pioneer species, they have to grow on what? ",Fq,SK,3.187247018,2.341106845,127,0,5
239,3026,S,Bare rock.,Rs,SK,-2.339264625,-3.220930319,128,1,18
240,3026,T,Bare rock. ,Fy,SK,-2.339264625,-3.220930319,129,2,16
241,3026,T,"Down here, bare rock was right, but someone put shrubs and seedlings next. ",E,SK,0.936356879,-0.057107697,129,2,16
242,3026,T,Remember they can’t grow until you have soil.,E,SK,2.976285057,2.196870298,129,2,16
243,3026,S,"[inaudible] bare rock, or virgin maple. ",Rs,SK,-0.163175322,-6.039394876,130,6,15
244,3026,T,And then we’re getting a forest. ,E,SK,2.231005532,6.063915538,131,4,10
245,3026,T,"Remember, we can’t have a climax community forest until we’ve gone thru the smaller stages, ok?",E,SK,2.550493501,-10.20695131,131,4,10
246,3026,T,Remember your diagrams?,P,OD,0.693337937,0.331022519,131,4,10
247,3026,S,Yes. ,Rs,OD,-5.109257114,-2.309483642,132,7,6
248,3026,T,"Remember, you start with bare rock and you had to move your way up.",E,OD,-0.349689315,-1.398456537,133,2,16
249,3026,T,This was right off your diagram; it was right off your diagram. ,E,OD,-1.171242189,-2.801764402,133,2,16
250,3026,T,So we need to work on that a little bit for the final demo. ,P,,1.865453157,1.092053762,133,2,16
251,3026,T,"This was primary, secondary or both. [inaudible]? ",Q,SK,1.737872631,-0.516748737,133,2,16
252,3026,S,Primary. ,Rs,SK,1.802214183,-0.109505953,134,2,10
253,3026,T,Primary. ,Fy,SK,1.802214183,-0.109505953,135,0,22
254,3026,T,"Oh, you all did really good on that one. ",Fs,SK,-3.039270343,1.837638798,135,0,22
255,3026,T,"Ok, that is primary. Only two of you all picked secondary. ",Fs,SK,0.774225537,-0.877592201,135,0,22
256,3026,T,The end result is a climax community in which it’s reached equilibrium. ,E,SK,2.922191218,7.786942337,135,0,22
257,3026,S,Primary. Secondary. ,Rs,SK,2.465667024,-0.157115303,136,4,10
258,3026,T,"Primary, secondary, or is it both? ",Q,SK,2.465667024,-0.157115303,137,4,10
259,3026,S,Both. ,Rs,SK,-0.188144341,0.033322097,138,2,17
260,3026,T,It’s both. ,Fy,SK,-0.188144341,0.033322097,139,2,24
261,3026,T,Four of you didn’t answer that. ,P,,-6.749628037,-3.090418888,139,2,24
262,3026,T," Listen. Whether it’s primary or secondary, eventually each one is going to have soil, right?",E,SK,1.819772614,0.118096999,139,2,24
263,3026,T,And eventually each one… Can each one support a stable eco-system after thousands of years?,Q,SK,-0.981600862,1.943593009,139,2,24
264,3026,S,Yes. ,Ry,SK,-5.109257114,-2.309483642,140,7,6
265,3026,T,"So each one, it’s ultimate goal is to reach what kind of community? ",Q,SK,-1.852654414,-2.124595047,141,1,12
266,3026,S,Climax. ,Rs,SK,1.626218068,4.556267232,142,0,3
267,3026,T,"Climax community, ",Fy,,2.231005537,6.063915615,143,0,22
268,3026,T,"So it doesn’t matter if you start as primary when a volcano erupts, ",E,SK,3.428346392,2.505948572,143,0,22
269,3026,T, or it doesn’t matter if it’s secondary if you have a forest fire. ,E,SK,-4.511524907,1.798439599,143,0,22
270,3026,T,"Either way you need to try to get your climax community again, right? ",E,SK,1.525604149,2.703913466,143,0,22
