number,TeacherID,speaker,utterance,ut,rc,UMAP_best_dim_1,UMAP_best_dim_2,conversation_id,KMeans_Cluster,EM_Cluster
20,3026,T,"If I drove 200 - If I drove 100 miles and I did it in two hours, how many miles did I go each hour? ",Q,OD,-10.855861,-9.654511,13,26,26
21,3026,S,50,Rs,OD,-7.305585,-6.765693,14,19,19
22,3026,T,"I did 50, right? ",Fy,OD,-7.552547,-6.9539447,15,20,20
23,3026,T,"I threw you a curve in there; I said two hours. So we normally know speed as miles per what, guys? ",Q,SK,-7.836923,8.40057,15,20,20
24,3026,S,Hour. ,Rs,SK,-8.235512,13.681264,16,24,24
25,3026,T,Hour. Miles per hour. ,Fy,SK,-8.258741,14.159518,17,27,27
26,3026,T,"We’re just trying to calculate how much distance can you travel in a certain amount of time, ok? ",E,PD,1.0884897,-5.578257,17,27,27
27,3026,T,"So of course, the farther you go in the less time it faster or slower? ",Q,PD,1.6892854,2.7771945,17,27,27
28,3026,S,Faster. ,Rs,PD,-16.762573,8.519814,18,6,6
29,3026,T,"Faster, right?  It would go faster. ",Fy,PD,-14.812909,-17.778492,19,16,16
30,3026,T,Or the less distance you cover in the same amount you’re probably going… ,Fq,PD,-0.3152208,-10.9343,19,16,16
31,3026,S,Slower.   ,Rs,PD,-5.5741396,14.791251,20,10,10
32,3026,T,"Slower, so speed is all about that distance and time relationship. ",Fs,MT,-16.422888,8.514012,21,15,15
33,3026,T,"And we’re going to talk about average speed vs. instantaneous speed, ok? ",P,SK,-7.9769726,9.991639,21,15,15
34,3026,T,"If I did drive to Houston and I took an average speed, what does average mean? ",Q,SK,11.433173,-5.584736,21,15,15
35,3026,T,You all just did this on your test. ,P,,8.690562,-7.875202,21,15,15
36,3026,T,What does average mean? ,Q,SK,11.698537,-5.863278,21,15,15
37,3026,T,"If I take an average of anything, what am I doing? ",Q,SK,-4.115552,-10.904875,21,15,15
38,3026,S,Taking…,Rs,SK,1.7247568,2.3470247,22,3,3
39,3026,T,Raise your hand. Jason? ,P,SK,-7.1694937,0.36262092,23,20,20
40,3026,S,"Oh, oh, like you total it up… ",Rs,SK,8.6368475,-6.8726616,24,2,2
41,3026,T,"Yeah, I’m totaling up what? A list of what? ",Fq,SK,1.203712,-5.4672236,25,17,17
42,3026,S,The speeds. ,Rs,SK,11.661907,-6.003992,26,2,2
43,3026,T,Correct.,Fy,SK,6.150177,-20.245928,27,4,4
44,3026,T,"I’m dividing it by how many different speeds I went, ok?  ",E,OD,-2.070091,-0.004722779,27,4,4
45,3026,T,"Because I started biking, and I can bike around White Rock Lake  ",E,OD,1.043723,-5.6239204,27,4,4
46,3026,T,and sometimes I’m going 15 miles an hour; ,E,OD,-8.230823,13.568845,27,4,4
47,3026,T,"it depends if I’m going down a hill or not, ",E,OD,11.706209,-5.9067116,27,4,4
48,3026,T,but at the end of my trip I look at my average speed and it might tell me I went an average of 10 MPH. ,E,OD,-3.7858183,-11.242731,27,4,4
49,3026,T,So that means it takes all my speeds and it’s going to average it all together. ,E,OD,-3.7865434,-11.241307,27,4,4
50,3026,T,"So on the average I did about 10 MPH even though at some points I may have gone faster or slower, right? ",E,OD,-5.599099,14.8030615,27,4,4
51,3026,T,Are you going to go the same speed as you drive to school?   ,Q,PD,-7.673718,9.721019,27,4,4
52,3026,T,What do you do between? ,Q,PD,-11.129359,-9.873672,27,4,4
53,3026,S,Stop. Go. ,Rs,PD,-6.404814,2.4724827,28,26,26
54,3026,T,"Stop, at a stop light, and then what do you do? ",Fq,OD,-6.1304145,2.82925,29,26,26
55,3026,S,Go. ,Rs,OD,-11.214396,-9.902766,30,0,0
56,3026,T,"You go, and as you start leaving the stop light what do you do? ",Fq,OD,-6.740099,19.55189,31,1,1
57,3026,T,As you leave you get a little what?,Q,OD,-7.711944,0.07670587,31,1,1
58,3026,S,Faster. ,Rs,OD,-16.912987,8.653384,32,6,6
59,3026,T,You go a little faster. ,Fs,OD,-7.8653727,0.28770232,33,4,4
60,3026,T,So the average speed is just talking about all your speeds averaged together. ,E,MT,-7.2167196,-6.798394,33,4,4
61,3026,T,"Now if I want to take a speed instantaneously, ",E,EX,-2.1560354,0.082692966,33,4,4
62,3026,T,"if I want to take a speed at one instance, that means at that one moment I want to know how fast I’m going, ",E,EX,-2.2343433,0.14767341,33,4,4
63,3026,T,so what kind of scale - what tool do I use to try to measure how I’m going at one particular second? ,Q,EX,-3.7393353,-11.289165,33,4,4
64,3026,S,Odometer. ,Rs,EX,6.164465,-20.32094,34,8,8
65,3026,T,What’s that called? ,Fq,EX,-7.823388,0.07762275,35,20,20
66,3026,S,Speedometer. Odometer. ,Rs,EX,18.853756,-4.5128813,36,13,13
67,3026,T,What’s the difference between an odometer and a speedometer? ,Q,EX,18.827728,-4.4868617,37,13,13
68,3026,S,A speedometer tells you how fast you’re going. ,Rs,EX,12.3397045,-16.27686,38,14,14
69,3026,T,"Right, the speedometer tells you how fast you’re going. ",Fs,EX,-0.37947968,-10.874661,39,17,17
70,3026,T,It tells you your instant speed at that one moment. ,E,EX,12.385799,-16.230806,39,17,17
71,3026,T,"What does the odometer do, guys? ",Q,EX,-8.311352,14.220215,39,17,17
72,3026,S,How far you traveled? ,Rs,EX,1.5956502,-4.905937,40,17,17
73,3026,T,"Right, how far you traveled. ",Fy,EX,-5.6061125,14.802099,41,4,4
74,3026,T,So you can get in your car and you can reset the odometer so if you’re about to leave your house ,E,EX,-4.941347,-17.669357,41,4,4
75,3026,T,"and you want to calculate how good you’re driving, how fast you’re driving, you can set it to zero, ",E,EX,-5.970775,3.0059488,41,4,4
76,3026,T, and as you get there it’s going to calculate your miles and then you can calculate your time. ,E,EX,-2.0547643,-0.028029205,41,4,4
77,3026,T,"Ok, well send it. Ok. Alright, let’s see our class average. Hold on, we’ll do that in a minute. Alright, so let’s go over your little mini quiz here. So I asked you in your own words what equilibrium meant.",P,,-3.713071,-11.315654,41,4,4
78,3026,T,"We have several examples with Mr. Denero and a class. Let’s see what you told me here. Alright, equal amount, the same, two equal things - I think this is supposed to say balance. I think you’re [inaudible], but I understand that’s balance. Equal and in balance. Now whenever you give a definition of a word you don’t want to use the same form of the word, so if I say it’s equilibrium, I don’t want to see equal in the definition.",P,,11.424196,-5.5776367,41,4,4
79,3026,S,Some did what? ,Q,SK,8.965802,-7.9307694,42,2,2
80,3026,T,Ignore. So the best thing you can probably tell me is if it’s balanced. Remember we talked about equilibrium where it’s reached a stable stage or it’s in balance. ,E,SK,10.377762,6.3732696,43,22,22
81,3026,T,"Think about the volcano. If the volcano is building up pressure, is that equilibrium, if it’s got pressure underneath it? ",Fq,SK,0.6533484,4.709449,43,22,22
82,3026,S,Yeah. ,Q,OD,1.6229914,-5.0217323,44,17,17
83,3026,T,"Yeah,  if it’s building up pressure? ",Fq,OD,1.7687875,2.3554745,45,3,3
84,3026,S,No. ,Ry,OD,-10.918753,-9.9807205,46,0,0
85,3026,T,"No.  Is the pressure greater or less underneath the crust as it is on the outside? Where’s there the most pressure. Think about it. If your volcano is building up pressure, is it going to be greater or less than the air pressure outside the volcano? Hello, Cory, is it greater or less? ",Fq,PD,0.6601499,4.701963,47,3,3
86,3026,S,Less. ,Rs,PD,-11.045179,-9.74316,48,0,0
87,3026,T,"Huh? Exactly; you’re not listening. Marquis, is it greater or less? ",Fq,PD,-6.7044272,19.516043,49,5,5
88,3026,S,I think less. ,Rs,PD,1.7909149,2.417864,50,3,3
89,3026,T,"Inside the volcano, before it erupts?",Fq,PD,0.8355165,4.50262,51,3,3
90,3026,S,It’s greater. ,Rs,PD,1.7943759,2.3990204,52,3,3
91,3026,T,It’s greater. ,Fy,PD,1.7663872,2.3979812,53,22,22
92,3026,T,"Now before it balances out it’s going to do what? If it wants to reach equilibrium, what does that volcano have to do? ",Q,PD,10.307081,6.443943,53,22,22
93,3026,S,Erupt.,Rs,PD,6.3109365,-20.412823,54,8,8
94,3026,T,"It’s going to erupt, because the whole point is the pressure under the crust vs. the pressure outside, it’s not the same.",Fs,PD,1.6346924,2.8464017,55,15,15
95,3026,T,"It’s in disequilibrium and we have to balance it out by making it the same, so it’s got to erupt. Same thing with succession. ",E,PD,-5.9644623,3.0146635,55,15,15
96,3026,T,"Johnny, explain to me what speed is. ",Q,SK,11.70276,-5.893954,55,15,15
97,3026,S,Speed is how far you move in a specific time? ,Rs,SK,1.5875052,-5.11874,56,17,17
98,3026,T,"Ok, how far you move in a certain amount of time. ",Fs,SK,1.0857314,-5.5853415,57,26,26
99,3026,T,Ok? So how many of you all…How many of y’all sped to school this morning?,Q,EX,-8.197206,13.869449,57,26,26
100,3026,S,"Ran, yeah.",Rs,EX,1.5675671,-4.750013,58,17,17
101,3026,T,Ran to the school? ,Fq,EX,-0.3523241,-10.89871,59,26,26
102,3026,T,How many of you all sped to school this morning. ,Q,EX,-8.27198,14.172878,59,26,26
103,3026,S,Sped? Ran to school? ,Rs,,-8.194672,13.254137,60,24,24
104,3026,T,I mean speed. Did you all speed to school? ,Q,EX,-0.34926087,-10.901217,61,17,17
105,3026,T,"In cars, ran. ",P,,-0.3328475,-10.921984,61,17,17
106,3026,T,"It’s funny, because when I say speed to school you think that you’re going too fast, right? ",E,OD,1.6970819,2.7859752,61,17,17
107,3026,T,"But really, the actual definition of speed is involving what two units as Johnny just told us?",Q,SK,8.564521,-6.6755695,61,17,17
108,3026,T,What two units does it involve? ,Q,SK,-7.683987,-6.0791817,61,17,17
109,3026,S,Time and distance. ,Rs,SK,-19.256332,7.376844,62,6,6
110,3026,T,"Time and distance, ok? ",Fy,SK,-16.194275,8.740001,63,15,15
111,3026,T,"So really, it’s just a ratio of how far have you gone in a certain amount of time.",E,SK,1.0636903,-5.584662,63,15,15
112,3026,T,And you all deal with speed all the time. ,E,EX,-2.018438,-0.061685372,63,15,15
113,3026,T,"You all are in baseball, you all are in track, you measure your speed ",E,EX,19.017773,-4.677262,63,15,15
114,3026,T,"When you drive to school everyday, roadtrips, when you’re on the interstate or in your neighborhood. E3.5 ",E,EX,0.67166233,4.691073,63,15,15
115,3026,T,what are the units that we measure our speed in? ,Q,SK,-2.0581508,-0.02301967,63,15,15
116,3026,S,Miles per hour. ,Rs,SK,-8.257925,14.054222,64,24,24
117,3026,T,"We measure it in miles per hour, ",Fy,SK,-8.196296,13.749672,65,26,26
118,3026,T,"don’t we, whereas in science lab we may use [inaudible] per second. ",E,SK,8.758886,-7.709774,65,26,26
119,3026,T,"So if I’m driving to Houston to see my sister, ok? ",E,OD,-6.1134253,2.8481328,65,26,26
120,3026,T,And let’s say I drive the first 100 miles and it takes me exactly two hours. ,E,OD,-7.1823874,0.33630815,65,26,26
121,3026,T,About how many miles did I go per hour?,Q,OD,-8.222343,13.734426,65,26,26
122,3026,S,50,Rs,OD,-7.3429675,-6.7328453,66,19,19
123,3026,T,If I went 100 miles and it took me two hours. ,Q,OD,-5.0597672,-17.78761,67,16,16
124,3026,S,50 each hour. ,Rs,OD,-8.106214,13.499045,68,24,24
125,3026,T,"Right, and what did you have to do to figure that out? ",Fq,OD,-0.058873147,18.121851,69,18,18
126,3026,S,Divide by two.,Rs,OD,0.53032374,1.1788586,70,15,15
127,3026,T,"You just divide it, right? That’s all speed is. ",Fs,OD,-10.623192,-9.833181,71,4,4
128,3026,T,"All speed is, is just a ratio of your distance to your time, ",E,PD,1.4483137,-5.2083197,71,4,4
129,3026,T,"so if you know your speed and your time you can tell me how far you’ve gone, or, if you know your speed and your… I said that backwards. ",E,PD,-2.2182777,0.10281703,71,4,4
130,3026,T,"If you know your speed and your time you can calculate how far you’ve gone,",E,PD,-1.8755553,-0.21291944,71,4,4
131,3026,T,"or if you know your total distance and if you know your total time, you can also calculate your speed,  ",E,PD,-2.327438,0.208669,71,4,4
132,3026,T,and that’s our formula that you just looked up. ,E,SK,1.2111276,-5.456914,71,4,4
133,3026,T,So what’s the actual formula for speed? ,Q,SK,-7.3411036,-6.740282,71,4,4
134,3026,S,Average of distance over time. ,Rs,SK,-16.603117,8.471875,72,6,6
135,3026,T,Right. Your total distance over total time. ,Fy,SK,-14.854793,-17.736185,73,4,4
136,3026,T,"That’s your average speed, which brings me to question two. ",E,SK,-3.841171,-11.185934,73,4,4
137,3026,T,There’s average speed and there’s instantaneous speed. ,E,SK,-7.888906,10.047008,73,4,4
138,3026,T,So what is your average speed? ,Q,SK,-4.13711,-10.883786,73,4,4
139,3026,T,"Speed itself is distance over time, but what is your average speed? ",Q,SK,-4.1616154,-10.856214,73,4,4
140,3026,T,"If you had to take an average, what does that mean?",Q,SK,11.651219,-5.87352,73,4,4
141,3026,T,"We’ve been doing math [inaudible], math practice.  ",P,SK,0.40139988,1.0153766,73,4,4
142,3026,S,You add and divide. ,Rs,SK,0.50873387,1.146273,74,15,15
143,3026,T,One person – raise your hand. One person. Ron? ,P,SK,12.328387,-16.288164,75,14,14
144,3026,S,Go half the speed you regularly go? ,Rs,SK,-3.8696966,-11.156913,76,11,11
145,3026,T,You go half the speed your regularly go?  If I’m averaging speeds? ,Fq,SK,-3.7358882,-11.292784,77,11,11
146,3026,S,Like if... ,Rs,SK,-7.297597,-6.755864,78,19,19
147,3026,T,"Let me put it this way, I’ve been starting to bike.",E,OD,0.69716775,4.664535,79,2,2
148,3026,T,"I ride my bike; I’m training for the MS 150, so if I get on my bike and I ride around White Rock Lake, ",E,OD,11.396434,-5.551173,79,2,2
149,3026,T,I’m not always going to be going the same speed at all times. ,E,OD,12.323262,-16.293377,79,2,2
150,3026,S,No. ,Ry,OD,-11.242407,-9.893659,80,0,0
151,3026,T,Same thing in your car; are you always going to be going the same speed all the way to your destination?,Q,OD,12.19057,-16.425064,81,14,14
152,3026,S,No. ,Ry,OD,-11.207243,-9.8171015,82,0,0
153,3026,T,No. Why? What’s happening between? ,Fq,OD,-5.5509257,14.791366,83,10,10
154,3026,S,The speed limit goes faster or slower.,Rs,OD,12.330868,-16.285753,84,14,14
155,3026,T,"Yeah, the speed limit may change. ",Fs,OD,-7.9822,9.891224,85,22,22
156,3026,T,"You may have to slow down for a school zone, or what else? ",Fq,OD,18.8729,-4.532024,85,22,22
157,3026,S,You have to get to the highway. ,Rs,OD,-7.7940555,8.4948,86,1,1
158,3026,T,George said if you have to go on the freeway you might have to speed up to get on it. ,Fs,OD,11.543259,-5.7194104,87,7,7
159,3026,T,"He’s right. Like when I ride my bike around the lake, sometimes I’m going down hill and I go about 15, 18 MPH, ",E,OD,10.375091,6.376301,87,7,7
160,3026,T,but then if I’m going up a hill I’m really tired and I’m going to slow down to like 9 MPH. ,E,OD,0.64177823,4.720815,87,7,7
161,3026,T,"Ok? So at the end of my trip I look at my speedometer and it tells me my average speed may be 10, but at some points I was doing 15; ",E,OD,-4.190489,-10.828372,87,7,7
162,3026,T,"sometimes I did 9, so what did my average speed do? ",Q,OD,8.752041,-7.8584557,87,7,7
163,3026,T,How do I calculate it? ,Q,PD,-2.2323008,0.15869367,87,7,7
164,3026,S,"It changed, so you add all the speeds up and divide by the number. ",Rs,PD,0.3769413,0.9903759,88,15,15
165,3026,T,"Right, add all my speeds up and divide it by how many times it took the speed, right?",Fs,PD,-16.718746,8.68888,89,4,4
166,3026,T,And that’s where I get my average speed. ,Fs,,-4.109113,-10.911695,89,4,4
167,3026,T,"So I can say my average speed from here to Houston was about 60 MPH, but that doesn’t mean I was going 60 the whole time, does it? ",Q,PD,11.433508,-5.590029,89,4,4
168,3026,S,No. ,Ry,PD,-11.273439,-9.695198,90,0,0
169,3026,T,"Because you know somewhere between there I probably had to stop and get gas, slow down, speed up to get on the freeway. ",Fs,PD,11.418728,-5.577874,91,22,22
170,3026,T,Now how is that different from instantaneous speed? What’s instantaneous speed? Raise your hand. ,Q,SK,3.0975175,6.499575,91,22,22
171,3026,T,"Say it again louder, Travis. ",P,SK,-0.08577308,18.095024,91,22,22
172,3026,S,To keep from exceeding the speed limit. ,Rs,SK,3.1183188,6.48096,92,22,22
173,3026,T,"We use it to keep from going over the speed limit, so…",Fs,SK,-8.168442,10.14134,93,3,3
174,3026,T,Well we use the odometer to measure what? ,Q,EX,11.672692,-5.9189496,93,3,3
175,3026,S,Speed. How far you went. The distance. ,Rs,EX,-1.994409,-0.10625739,94,27,27
176,3026,T,"Right, odometer measures the distance ",Fy,EX,-5.662332,14.801421,95,3,3
177,3026,T,and you speedometer measures what? ,Q,EX,8.989632,-7.883234,95,3,3
178,3026,S,Average. Speed. ,Rs,EX,-4.1715,-10.825192,96,11,11
179,3026,T,"Speed, ok? ",Fq,EX,5.9149923,-20.04879,97,14,14
180,3026,T,So instantaneous speed means the speed I’m going when?,Q,OD,12.365828,-16.250896,97,14,14
181,3026,S,When you start. ,Rs,OD,-8.18404,21.071993,98,5,5
182,3026,T,"Well any time, right?  ",Fy,OD,-19.29889,7.410756,99,25,25
183,3026,T, If I want to know my speed at any given time what am I going to look at? ,Q,EX,-2.2518694,0.18461032,99,25,25
184,3026,S,The speedometer. ,Rs,EX,-8.137762,10.127983,100,1,1
185,3026,T,"I’m going to look at my speedometer, and I’m going to know exactly how fast I’m going at that one moment. ",Fs,EX,12.197024,-16.418673,101,23,23
186,3026,T,That’s instantaneous speed. ,E,SK,-0.19017807,-11.060191,101,23,23
187,3026,T,"Now average speed, remember, is an average of all my what? ",Q,SK,-4.1920333,-10.824532,101,23,23
188,3026,S,Speeds. ,Rs,SK,11.675092,-6.032704,102,2,2
189,3026,T,All my different speeds from point A to point B. ,Fs,SK,11.46578,-5.6294246,103,2,2
190,3026,S,And then you divide by the number. ,Rs,SK,0.47857156,1.1141324,104,15,15
191,3026,T,"Right, so I can measure my speed exactly as I go up a hill, and I could later on give my average, so that’s two different things, ok?  ",Fq,SK,-3.713955,-11.315094,105,4,4
192,3026,T,"We’re going to look at speed today and we’re going to do some calculations using some equipment that you see on your desk. Questions on your bell ringer? We need to jump back to yesterday for a minute. We did not get to finish our questions over equilibrium, did we? ",P,,0.37537694,0.9896774,105,4,4
193,3026,T,"T:  I know, I’m fixing it. Ok, so in your own words, what does equilibrium mean? ",Q,SK,-7.9476585,-5.710798,105,4,4
194,3026,T,"Ok, we talked about equilibrium, ",P,SK,-5.247844,-17.974913,105,4,4
195,3026,T,"[inaudible], when an eco-system reaches that climax community, so let’s see what you all said. ",P,SK,10.340904,6.410064,105,4,4
196,3026,T,"Alright, balance, eco-system balance, 50/50 the same, eco system that stays in balance. ",Fs,SK,-7.9415774,-5.6682343,105,4,4
197,3026,T,"I think the key word here is what, guys? ",Q,SK,4.9627476,18.207134,105,4,4
198,3026,S,Balance.,Rs,SK,-7.320479,-6.7342587,106,19,19
199,3026,T,"Balance, meaning that we have reached a state… ",Fy,SK,9.579975,7.1900625,107,27,27
200,3026,T,"One, two, three, four… Key word meaning balance, meaning the level, the system, whatever system we’re talking about; ",E,SK,4.8458695,16.596226,107,27,27
201,3026,T," volcano, eco-system, you’re human body. ",E,OD,-7.758514,-5.9759593,107,27,27
202,3026,T," What ever the system is it’s always trying to keep a stable condition; a balance of the systems, ok? ",E,OD,-1.8865154,-0.19905587,107,27,27
203,3026,T," Like your body is always trying to balance temperatures, so I think you all got that pretty good. ",E,EX,-7.9416513,-5.7095695,107,27,27
204,3026,T, Then we talked about the stages of succession in order.,E,SK,0.7432138,4.6175656,107,27,27
205,3026,T,Here were your choices. If we’re going from earliest to latest… ,P,SK,-7.718948,-6.027742,107,27,27
206,3026,T,"Where are you glasses, sweetie? ",Q,,-6.307896,2.58114,107,27,27
207,3026,S,I broke them. ,Rs,,-1.6800016,8.229017,108,9,9
208,3026,T,"They’re broken. Here, have a seat right here. ",Fs,,-8.236949,13.762647,109,3,3
209,3026,T,That way we won’t block you in. ,P,,0.39660263,1.0188179,109,3,3
210,3026,T,"Alright, so which one would be the earliest stage that needs to be on top, Andrew? ",Q,SK,8.54339,-6.748326,109,3,3
211,3026,S,Bare rock. ,Rs,SK,1.1254157,4.0209055,110,3,3
212,3026,T,"Bare rock, right? ",Fy,SK,1.6324128,2.7132924,111,27,27
213,3026,T,That’s after lava has hardened and we have nothing but bare rock. ,E,SK,1.7455612,2.3625636,111,27,27
214,3026,T,Is there life there yet? ,Q,SK,-6.4190516,2.4510043,111,27,27
215,3026,S,No.,Ry,,-11.203746,-9.842425,112,0,0
216,3026,T,Is there soil there yet? ,Q,SK,-16.788792,8.574588,113,6,6
217,3026,S,No. ,Ry,SK,-11.068502,-9.706931,114,0,0
218,3026,T,"No, bare rock, ",Fy,SK,1.1414837,4.002937,115,3,3
219,3026,T,so what’s the next thing that can grow on bare rock? ,Q,SK,0.72165775,4.6395893,115,3,3
220,3026,S,Minor species. ,Rs,SK,-19.278051,7.3929186,116,6,6
221,3026,T,Minor species; ,Fy,SK,-19.298126,7.3945093,117,6,6
222,3026,T,do they need soil to grow? ,Q,SK,-16.20387,8.734023,117,6,6
223,3026,S,Yes. No. ,Ry,SK,-8.236148,21.13966,118,5,5
224,3026,T,No.,Fy,SK,-11.030823,-9.699973,119,20,20
225,3026,T,So are shrubs going to be next? ,Q,SK,-7.8098836,8.731874,119,20,20
226,3026,S,Yeah. I put shrubs. ,Rs,SK,-7.803206,8.630838,120,1,1
227,3026,T,What do shrubs need to grow in? ,Q,SK,-16.18966,8.760516,121,6,6
228,3026,S,Soil. ,Rs,SK,-16.823915,8.542788,122,6,6
229,3026,T,Soil. ,Fy,SK,-16.709728,8.577176,123,25,25
230,3026,T,Is there any soil yet on bare rock? ,Q,SK,1.7177743,2.786485,123,25,25
231,3026,S,No. ,Ry,SK,-11.074259,-9.649907,124,0,0
232,3026,T,"No, so shrubs can’t be next, so it has to be pioneer species. ",Fs,SK,-14.767771,-17.823748,125,19,19
233,3026,T,"Then when the pioneer species start breaking down that rock, to form soil, then we can have seedlings and shrubs, ",E,SK,-14.848058,-17.74233,125,19,19
234,3026,T,and then the last stage? ,Q,SK,9.682684,7.082987,125,19,19
235,3026,S,Virgin maple forest. ,Rs,SK,0.41055012,1.0334275,126,15,15
236,3026,T,"Ok, Tim, you got that order correct. ",Fs,SK,11.753509,-5.9743466,127,16,16
237,3026,T,"Some groups started with the pioneer species, ",Fs,SK,-14.80463,-17.786747,127,16,16
238,3026,T," but remember, before the pioneer species, they have to grow on what? ",Fq,SK,-14.85606,-17.735283,127,16,16
239,3026,S,Bare rock.,Rs,SK,1.139275,4.0056043,128,3,3
240,3026,T,Bare rock. ,Fy,SK,1.1162637,4.0242558,129,20,20
241,3026,T,"Down here, bare rock was right, but someone put shrubs and seedlings next. ",E,SK,-16.602087,8.178719,129,20,20
242,3026,T,Remember they can’t grow until you have soil.,E,SK,-14.800643,-17.7908,129,20,20
243,3026,S,"[inaudible] bare rock, or virgin maple. ",Rs,SK,0.72074413,1.37177,130,15,15
244,3026,T,And then we’re getting a forest. ,E,SK,9.835025,6.9172087,131,3,3
245,3026,T,"Remember, we can’t have a climax community forest until we’ve gone thru the smaller stages, ok?",E,SK,0.39394504,1.0061074,131,3,3
246,3026,T,Remember your diagrams?,P,OD,-2.6377592,0.33795497,131,3,3
247,3026,S,Yes. ,Rs,OD,-8.246243,21.136059,132,5,5
248,3026,T,"Remember, you start with bare rock and you had to move your way up.",E,OD,1.6966107,2.8064055,133,3,3
249,3026,T,This was right off your diagram; it was right off your diagram. ,E,OD,4.961157,18.205437,133,3,3
250,3026,T,So we need to work on that a little bit for the final demo. ,P,,1.0774149,-5.5978913,133,3,3
251,3026,T,"This was primary, secondary or both. [inaudible]? ",Q,SK,-7.6942234,0.40050715,133,3,3
252,3026,S,Primary. ,Rs,SK,-7.7643266,0.13810585,134,20,20
253,3026,T,Primary. ,Fy,SK,-7.8069587,0.16200022,135,15,15
254,3026,T,"Oh, you all did really good on that one. ",Fs,SK,8.633348,-6.854594,135,15,15
255,3026,T,"Ok, that is primary. Only two of you all picked secondary. ",Fs,SK,-7.881193,0.25055826,135,15,15
256,3026,T,The end result is a climax community in which it’s reached equilibrium. ,E,SK,10.319051,6.432049,135,15,15
257,3026,S,Primary. Secondary. ,Rs,SK,-7.7271667,0.08366486,136,20,20
258,3026,T,"Primary, secondary, or is it both? ",Q,SK,-7.672369,0.023111453,137,20,20
259,3026,S,Both. ,Rs,SK,-11.141006,-9.873144,138,0,0
260,3026,T,It’s both. ,Fy,SK,-11.143729,-9.776392,139,25,25
261,3026,T,Four of you didn’t answer that. ,P,,-6.7991724,19.611002,139,25,25
262,3026,T," Listen. Whether it’s primary or secondary, eventually each one is going to have soil, right?",E,SK,-7.8814306,0.31917354,139,25,25
263,3026,T,And eventually each one… Can each one support a stable eco-system after thousands of years?,Q,SK,-7.7586856,8.504784,139,25,25
264,3026,S,Yes. ,Ry,SK,-8.221814,21.050814,140,5,5
265,3026,T,"So each one, it’s ultimate goal is to reach what kind of community? ",Q,SK,-4.9019737,-17.630053,141,16,16
266,3026,S,Climax. ,Rs,SK,9.619216,7.193421,142,12,12
267,3026,T,"Climax community, ",Fy,,9.771457,6.987288,143,7,7
268,3026,T,"So it doesn’t matter if you start as primary when a volcano erupts, ",E,SK,-14.798008,-17.792988,143,7,7
269,3026,T, or it doesn’t matter if it’s secondary if you have a forest fire. ,E,SK,18.996584,-4.656022,143,7,7
270,3026,T,"Either way you need to try to get your climax community again, right? ",E,SK,9.515243,7.098365,143,7,7
271,3026,S,Yes. ,Ry,SK,-8.25784,21.091505,144,5,5
272,3026,T,"Of course, after a forest fire…",Q,SK,1.1506108,3.9972541,145,3,3
273,3026,S,Secondary. ,Rs,SK,-7.8034625,0.13094579,146,20,20
274,3026,T,Secondary. ,Fy,SK,-7.8738294,0.16628951,147,27,27
275,3026,T,Most of you all got that right; that’s good. ,Fy,,-7.334423,-6.7716026,147,27,27
276,3026,T,True or false. A volcano reaches a state of equilibrium… ,Q,SK,10.29366,6.458334,147,27,27
277,3026,S,True.,Rs,SK,6.1853595,-20.267052,148,8,8
